Algorithm,ARI,NMI,Silhouette,MSE,Runtime(s)
MS Clustering,0.4461750294519859,0.5685264049237426,0.0734631,37.631138,432.5322697162628
DP-GRAMS-C,0.3829455856133527,0.5285737662205653,0.07749065,52.747799119916145,178.3039858341217
KMeans,0.3660426570022991,0.484787731306374,0.0816633,39.475445,1.0070602893829346
DP-KMeans,0.2433255126310559,0.3578005673750415,0.045380495,313.21848727719737,0.5668752193450928
