Eps_modes,Algorithm,ARI,NMI,MSE,Std_ARI,Std_NMI,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
0.25,DP-GRAMS-C,0.40224645174599444,0.5571510256722025,18397.973661635107,0.04965649716100833,0.03684967114328996,5796.491878188396,0.16602532863616942,0.004673895426992212
0.25,DP-KMeans,0.084835335005149,0.19780016046085955,2020.3947354935892,0.040314533546981265,0.055997493200143106,300.21249759174356,0.398808491230011,0.02691820232122525
0.5,DP-GRAMS-C,0.5621843264139462,0.6861382405559858,3100.419880667119,0.037636543475570425,0.025989514274208654,539.5027827155037,0.16560964584350585,0.002802115948986305
0.5,DP-KMeans,0.03606172382785394,0.1272274104122253,2029.7903266874637,0.03493630764526063,0.0730875934003263,389.00993355222226,0.3835564851760864,0.0311503972847229
1.0,DP-GRAMS-C,0.6011874254603127,0.7135708313311181,662.2189381688243,0.03269255489258353,0.017917189863743306,158.873307734185,0.16522021293640138,0.002245798578497254
1.0,DP-KMeans,0.019954900501954503,0.06851920356829691,2060.2696365671363,0.03453076067466854,0.08370832652493845,304.42995469447504,0.3383435487747192,0.04106558057343261
2.5,DP-GRAMS-C,0.594783099857904,0.7093540909234448,125.98340551107212,0.05036355185746125,0.027153109634473708,31.472730390745944,0.1660399079322815,0.0036488297673035524
2.5,DP-KMeans,0.0871067564999208,0.2261440072572103,1588.1091065353678,0.05046752816096408,0.08472884290098145,261.21334213122213,0.2987926244735718,0.028049835018452568
5,DP-GRAMS-C,0.5875678865849749,0.705164474809062,49.20478039793141,0.03378083066671394,0.023125266729316214,10.46048873655353,0.16433099508285523,0.0015170266338953584
5,DP-KMeans,0.1866571022334763,0.3548684967355882,1216.9285969401458,0.05032157705695974,0.0594950114232173,292.61165411715626,0.30566508769989015,0.02133010395102211
