Eps_modes,Algorithm,ARI,NMI,MSE,Std_ARI,Std_NMI,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
0.1,DP-GRAMS-C,0.2888227997914141,0.45926520746059857,8.976520496413285,0.13710401089492952,0.1569159735080736,2.995594593672189,0.03669172525405884,0.003340480656709706
0.1,DP-KMeans,0.4638723626634884,0.5954384923726852,1.9048110808601533,0.1300410387694162,0.08598050507910397,0.8506053286832816,0.007305955886840821,0.0005459775839191953
0.2,DP-GRAMS-C,0.6125111805033924,0.6965338933172681,1.381882762192751,0.16008211852198226,0.09875971511153463,1.575274079449995,0.03570355176925659,0.00037069230766811564
0.2,DP-KMeans,0.4613474385740912,0.6135421563565948,1.7761971446025213,0.15126109449938605,0.08594583953845805,0.6180026173537434,0.007203447818756104,0.0005194590673348564
0.5,DP-GRAMS-C,0.8553724392689542,0.84671809427432,0.046623965290723324,0.022345227595619098,0.014654946951309639,0.02970785343092095,0.03641397953033447,0.0004898238168719217
0.5,DP-KMeans,0.530588929812431,0.6545816412802407,1.2234254442910033,0.14902778720512402,0.08372778691625998,0.8881456270274006,0.007170355319976807,0.0004747941916876616
1.0,DP-GRAMS-C,0.8892932885623506,0.8705040085860754,0.014930715591829341,0.013786337986893963,0.008594279764276153,0.009802671075917042,0.03677499294281006,0.00017229128975171753
1.0,DP-KMeans,0.6043433550369028,0.6970353891117835,0.9681643515719038,0.11879190009476696,0.0747162233898095,0.5809818743356977,0.007095456123352051,0.0004784363701430626
5.0,DP-GRAMS-C,0.9000957252899852,0.878345484213277,0.0034163389251006893,0.005228375456295855,0.005022205549341235,0.0020524864826414607,0.0368338942527771,7.909274917732529e-05
5.0,DP-KMeans,0.7475973190472793,0.7946574108237291,0.5498045766181214,0.12349776115185616,0.06650166404556244,0.5746977887306105,0.021476221084594727,0.001783586465770654
