Algorithm,ARI,NMI,MSE,Runtime(s)
MS Clustering,0.6566040087099354,0.7237405378987827,0.19990648149769458,0.019544124603271484
DP-GRAMS-C,0.8338808552197169,0.8318131696652125,0.034912845972248065,0.018851041793823242
KMeans,0.9028430495905373,0.8776309369522064,0.00021259787343181423,0.03800082206726074
DP-KMeans,0.635600530529093,0.7244843909239644,0.7654063016122876,0.008426904678344727
