Algorithm,ARI,NMI,MSE,Runtime(s)
MS Clustering,0.6566040087099354,0.7237405378987827,0.19990648149769458,0.026874303817749023
DP-GRAMS-C,0.7588282482746769,0.8055239614276067,0.1042358730031877,0.025502920150756836
KMeans,0.9028430495905373,0.8776309369522064,0.00021259787343181423,0.04038405418395996
DP-KMeans,0.635600530529093,0.7244843909239644,0.7654063016122876,0.008189201354980469
