n_samples,MS_mean,MS_se,DP_mean,DP_se,MS_time_mean,MS_time_se,DP_time_mean,DP_time_se
700,0.008972261073189542,0.0004287425695910698,0.21029845321027696,0.0272351058346602,0.009653174760751426,2.099270008758125e-05,0.004561022738926113,0.00013578254766289332
1000,0.0059195082984772225,0.00011046843841242323,0.10345763152192873,0.012461763544915235,0.017329322779551147,1.172342217147609e-05,0.0070031729061156515,0.00017219640609199855
2000,0.0061094826820690075,9.062218734027218e-05,0.04461231227290461,0.005329450443034782,0.0697804770199582,0.0005187810975738085,0.01391712916083634,0.0002606525990680921
5000,0.0019469622262262762,2.4552940847913326e-06,0.010961162981120749,0.0011437650472445533,0.44701214171946047,0.0012869108199508757,0.07187807087320834,0.000968269514713278
