n,epsilon,DP_MSE_mean,DP_MSE_se,MS_MSE_mean,MS_MSE_se,DP_time_mean,DP_time_se,MS_time_mean,MS_time_se
700,0.1,6.793167622557199,1.4698973906351012,0.008972261073189542,0.0004287425695910698,0.00445086678955704,0.00014197250381373496,0.00939540402032435,4.3615071267207415e-05
700,0.2,4.188226264729471,0.6536089550319405,0.008972261073189542,0.0004287425695910698,0.0046141855651512746,0.0001928997990642161,0.00939540402032435,4.3615071267207415e-05
700,0.5,0.8809549404966092,0.11970070390358754,0.008972261073189542,0.0004287425695910698,0.0044071042444556955,0.00013791717367018144,0.00939540402032435,4.3615071267207415e-05
700,1,0.23052171454494755,0.02244555156698737,0.008972261073189542,0.0004287425695910698,0.004123291606083513,0.0001076515537075518,0.00939540402032435,4.3615071267207415e-05
700,5,0.03384433751879644,0.0030317649766186156,0.008972261073189542,0.0004287425695910698,0.004181077051907778,0.00012218734729088634,0.00939540402032435,4.3615071267207415e-05
1000,0.1,3.7922578766281285,0.6468358444466072,0.0059195082984772225,0.00011046843841242323,0.007710172957740724,0.00023163413898462617,0.01705075220670551,4.748048074090507e-05
1000,0.2,1.7073398131092223,0.28513103216296637,0.0059195082984772225,0.00011046843841242323,0.007166281202808022,0.00014978290309990952,0.01705075220670551,4.748048074090507e-05
1000,0.5,0.3744982867559465,0.03341597782467491,0.0059195082984772225,0.00011046843841242323,0.0070836125174537305,0.00020281149739234103,0.01705075220670551,4.748048074090507e-05
1000,1,0.09309425878505413,0.010632039760363057,0.0059195082984772225,0.00011046843841242323,0.007271580980159342,0.0002254758986934905,0.01705075220670551,4.748048074090507e-05
1000,5,0.015763578501534776,0.0021378885303240088,0.0059195082984772225,0.00011046843841242323,0.007271858351305127,0.00028280599281630395,0.01705075220670551,4.748048074090507e-05
2000,0.1,3.253145057503447,0.43522878750259336,0.0061094826820690075,9.062218734027218e-05,0.013994166650809348,0.0003905227831891636,0.06926837095525115,0.00012320006593843113
2000,0.2,1.0650526628430468,0.12050438781887965,0.0061094826820690075,9.062218734027218e-05,0.013713818858377635,0.00032066196921485196,0.06926837095525115,0.00012320006593843113
2000,0.5,0.13057819501763368,0.018146028285487857,0.0061094826820690075,9.062218734027218e-05,0.01368514581117779,0.000321764951863092,0.06926837095525115,0.00012320006593843113
2000,1,0.044387353047468825,0.004564252417460029,0.0061094826820690075,9.062218734027218e-05,0.013336045714095236,0.00028659247491120293,0.06926837095525115,0.00012320006593843113
2000,5,0.00988272657177489,0.0007273479267047598,0.0061094826820690075,9.062218734027218e-05,0.013828160474076867,0.00030947544590992246,0.06926837095525115,0.00012320006593843113
5000,0.1,0.6487432225886185,0.07908539193371658,0.0019469622262262762,2.4552940847913326e-06,0.07132914809044451,0.0008152634109413876,0.4518815978197381,0.003513909220012316
5000,0.2,0.2422392981152976,0.0245253241084584,0.0019469622262262762,2.4552940847913326e-06,0.07085091883782298,0.0010607295019435716,0.4518815978197381,0.003513909220012316
5000,0.5,0.02955518943191009,0.003482114055911733,0.0019469622262262762,2.4552940847913326e-06,0.07358880206011235,0.001029195156106569,0.4518815978197381,0.003513909220012316
5000,1,0.013728701128040718,0.0016656505691920289,0.0019469622262262762,2.4552940847913326e-06,0.07242096452973783,0.000751735046420248,0.4518815978197381,0.003513909220012316
5000,5,0.0026604196335060872,0.00020520534833949004,0.0019469622262262762,2.4552940847913326e-06,0.07431860833894462,0.0012581566140416381,0.4518815978197381,0.003513909220012316
