Eps_modes,Algorithm,ARI,NMI,MSE,Std_ARI,Std_NMI,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
0.1,DP-GRAMS-C,0.01021633303756361,0.014559527647194589,0.9283253067887497,0.019619839683984782,0.03841794736237548,0.3612363273037664,0.03576199213663737,0.0073014785959213515
0.1,DP-KMeans,0.018802543884944976,0.024897600596092195,1.4433095957799613,0.026409658663047127,0.0427923592750147,0.6237582434393519,0.004328719774881999,0.0003998725909622575
0.2,DP-GRAMS-C,0.0024367684987744347,0.002481353247585508,0.3090564430410401,0.004840911874557802,0.0041649989651373655,0.14158394544008537,0.034915494918823245,0.0015833605336221888
0.2,DP-KMeans,0.007007310254300855,0.010548563169649448,1.4424781620797342,0.011422162166019184,0.029471293663609836,0.8042701830506409,0.004210035006205241,0.0002606727717524222
0.5,DP-GRAMS-C,-0.00022530392365025206,0.00032080570437155643,0.06134440444846042,0.00048675800082403003,0.0003551006120451476,0.03095297323369964,0.03482795556386312,0.0005258188156159382
0.5,DP-KMeans,0.000720148797619227,0.001051894335348052,0.8887944845707814,0.0021565471006767573,0.0016976378946881698,0.2738520836164484,0.0041365544001261394,0.0002226461253469314
1.0,DP-GRAMS-C,-0.0005342135866502242,9.587048270441436e-05,0.02182230552063594,0.00017169834537140028,0.0001239027872551493,0.010436455264245382,0.03480908870697021,8.228040057700321e-05
1.0,DP-KMeans,0.0009845681101270623,0.0013317583213818967,0.8416310048561574,0.003970638323299636,0.003534709405051148,0.3714166028239158,0.008872429529825846,0.00021380576793010676
2.0,DP-GRAMS-C,-0.0005611267412020983,7.651562894843948e-05,0.012945501791119158,0.00011158575974508212,8.043902042302257e-05,0.0049189530795115165,0.035099124908447264,0.00041679291798439854
2.0,DP-KMeans,0.0003495669344401777,0.0007483315844269282,0.8843524486859492,0.001081805080095373,0.0008102140087133697,0.290558538390816,0.012014484405517578,0.00022441568833411228
