n_samples,Eps_modes,Algorithm,ARI,Std_ARI,NMI,Std_NMI,MSE,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
700,0.1,DP-GRAMS-C,0.0,0.0,0.0,0.0,2223.7855313115206,1066.1004877690002,0.012642097473144532,0.002914599350311667
700,0.1,DP-KMeans,0.025148789710321685,0.02645642626221208,0.03872181382010512,0.05454508861904386,2.08695190449745,1.1901934476419342,0.004023599624633789,0.0002287293698051458
700,0.2,DP-GRAMS-C,0.001313897385123165,0.005065186468265705,0.00597789859400399,0.02582758859527578,553.2708685928527,319.06613189295746,0.011522412300109863,8.374913986729513e-05
700,0.2,DP-KMeans,0.013552212857418738,0.020491780348523787,0.017003609681055437,0.027402312927179456,1.619964894528086,1.1258257327111303,0.003931188583374023,0.00024601507336568146
700,0.5,DP-GRAMS-C,0.0140088924430915,0.01979253277462703,0.03237434845547427,0.04578580346625692,17.301289828207825,26.5553487276978,0.011548566818237304,0.00022088826128044588
700,0.5,DP-KMeans,0.007937053050096782,0.019263180213172398,0.012725722371875029,0.03487413286389752,1.3024671788701825,0.7086486749545194,0.003890502452850342,0.00022664497892489006
700,1.0,DP-GRAMS-C,0.02552584962360783,0.0321088329687526,0.05304099936801406,0.05875262599763537,4.2760824008652,2.49325313780195,0.01180107593536377,7.188294043488933e-05
700,1.0,DP-KMeans,2.3212001448290646e-05,0.002086813668349166,0.0010860428477814136,0.001599449454774994,0.7966943897279302,0.25811442955371805,0.0038382411003112793,0.00020533858450262637
700,5.0,DP-GRAMS-C,0.0040842450077854,0.012801085949894823,0.0054929786636000195,0.015402818122469413,0.36238084523509434,0.21094341797621408,0.01146789789199829,0.0001226588443434585
700,5.0,DP-KMeans,-0.0005852894295714757,0.0013251601288920998,0.0006205959898210568,0.000981065274192217,0.7748519970034267,0.25158074704726335,0.010758817195892334,0.0001948083038523182
1000,0.1,DP-GRAMS-C,0.0,0.0,0.0,0.0,1029.950407711826,504.09809376166726,0.017931151390075683,0.00022609126203228366
1000,0.1,DP-KMeans,0.01685442310165939,0.023143333506787777,0.03296657886480463,0.051802167727794314,1.9673978943443082,1.1412281540850127,0.004026591777801514,0.00024361730879125722
1000,0.2,DP-GRAMS-C,0.0025533331595729188,0.007853521394541907,0.008638983418926969,0.026955858204800155,212.8767369536959,122.64279073786243,0.01796799898147583,0.00022152188930486878
1000,0.2,DP-KMeans,0.011181080527517555,0.022243359396917795,0.019305676143339785,0.046520182531298124,1.3803196342819493,1.0089060599454298,0.004134130477905273,0.00020605200841158436
1000,0.5,DP-GRAMS-C,0.02057127386248574,0.023622800163395772,0.0478018629883271,0.06336147770160959,8.77290502776938,5.904948712846904,0.01796921491622925,0.00011019821552889514
1000,0.5,DP-KMeans,0.005099915756962323,0.01579133983820546,0.0075666259383126155,0.024361996667267537,1.0465287816447781,0.5888324139922575,0.003978228569030762,0.0002083249948564873
1000,1.0,DP-GRAMS-C,0.013879993926914557,0.02245106191360849,0.019331712842637898,0.031778573288056895,2.234986686474276,1.1021703821205056,0.018029212951660156,4.510593787278805e-05
1000,1.0,DP-KMeans,0.00046242225854254467,0.0017463381348397037,0.0010844674879210362,0.0013230179835971726,0.8853633961956138,0.2587252555522384,0.005495202541351318,0.0001850067124954605
1000,5.0,DP-GRAMS-C,0.00590248676420423,0.011478921700740568,0.006355670861422481,0.011783359644954415,0.32021030832758524,0.22323209218012,0.018001258373260498,3.681531947246431e-05
1000,5.0,DP-KMeans,-0.00032359228094824366,0.0013268425053187417,0.0005008319853619922,0.000999717833696384,0.7935603249200024,0.1947583071854592,0.011234045028686523,0.0002185513923779018
2000,0.1,DP-GRAMS-C,0.006908461980518375,0.01736687195693155,0.017875427787574248,0.04631135816976891,394.529540376834,305.3243319008187,0.0506874680519104,0.00037764426541129283
2000,0.1,DP-KMeans,0.013981350327481473,0.018279280546799472,0.016091684945452968,0.030086055320094996,1.4298592536701082,0.9574689899602381,0.004444587230682373,0.0001998298428045442
2000,0.2,DP-GRAMS-C,0.008342046685745789,0.01712776877963138,0.015802763529568078,0.03709968665629659,68.30718469854892,82.96504078494208,0.050715434551239016,0.00035118192000914954
2000,0.2,DP-KMeans,0.003420652466951638,0.005931832187798196,0.003163655162864751,0.00513215618190846,1.0223969587067798,0.583398445880095,0.004513013362884522,0.00026722963517991194
2000,0.5,DP-GRAMS-C,0.027370794421594135,0.022830548637692634,0.04986114169423998,0.057472919834140504,3.538596293583575,1.494880317506839,0.05074508190155029,0.00022944592229213171
2000,0.5,DP-KMeans,0.004136544176568668,0.009067749288996759,0.004114827353515782,0.009335023836324754,0.9358542805994464,0.5260232921199084,0.0060851812362670895,0.00020006365753687816
2000,1.0,DP-GRAMS-C,0.010728716434411922,0.014818017946991497,0.01068175340463449,0.016241157346604352,0.8461599428538212,0.4010693710989202,0.050733888149261476,0.0001529212003495469
2000,1.0,DP-KMeans,0.005143469123959502,0.013840950570626176,0.0056933828354172895,0.014891841242181464,0.9838570884064242,0.42065450151859013,0.010940456390380859,0.00021306398955815302
2000,5.0,DP-GRAMS-C,0.0006117985223344352,0.0014093834347309179,0.000818030155371232,0.0010440187754820185,0.08729055301794295,0.05365807983113902,0.05069310665130615,9.693754633801148e-05
2000,5.0,DP-KMeans,-7.864813861025661e-05,0.0007999695106069107,0.00030704082943623526,0.0005883961560425373,0.723169809041474,0.06836724265788482,0.012313175201416015,0.00025978588281048314
5000,0.1,DP-GRAMS-C,0.01406847435075292,0.025078387510024717,0.03873963891886932,0.05943926011588388,37.91719655809966,37.1177723343096,0.21773425340652466,0.0018993706357811353
5000,0.1,DP-KMeans,0.0024810437369162473,0.007151792133981431,0.002373666422095487,0.006991251146678043,0.809091800780463,0.5440534272969786,0.005576884746551514,0.00022231167818269925
5000,0.2,DP-GRAMS-C,0.027868458096737946,0.025905380140407917,0.05290193709902311,0.060871775800887436,3.4799120956052314,1.4711977774682943,0.2163059949874878,0.001048453898369437
5000,0.2,DP-KMeans,0.0018067846088699597,0.0036713925621478035,0.0015870591311959229,0.0030215252835320327,0.9934714863464571,0.5052855099436792,0.007601237297058106,0.00020573265713504972
5000,0.5,DP-GRAMS-C,0.01567636328704361,0.01999349159066168,0.022299948384748393,0.03987419054901347,0.9579842267437195,0.5319184808754382,0.21757351160049437,0.0013202775954262204
5000,0.5,DP-KMeans,0.000895677313549885,0.001588867107539751,0.0008220182940525973,0.001217920273913953,0.8403775740494208,0.501433758260186,0.01573524475097656,0.00027329679079470535
5000,1.0,DP-GRAMS-C,0.0022170174662368646,0.0028222791832151375,0.0018521442608294913,0.0022227052302948554,0.2849090438785581,0.1025346565853018,0.22129355669021605,0.006366393510091531
5000,1.0,DP-KMeans,0.00016377610093655629,0.00033487473970888494,0.0002639415059277637,0.00024407069687818752,0.7174594912269003,0.1353403383011021,0.016320204734802245,0.0004597915671036201
5000,5.0,DP-GRAMS-C,7.765001289823722e-05,0.00021914079322333323,0.00020096547897597775,0.00015903277320517882,0.05124397738480346,0.01408664544920721,0.2173081874847412,0.0017158558100040275
5000,5.0,DP-KMeans,-0.00016671110744747526,3.3873976545487316e-05,2.4048577365562272e-05,2.4424820893466472e-05,0.7219237959883442,0.029389040613143975,0.015563428401947021,0.00020856640693395478
