Algorithm,ARI,NMI,Silhouette,MSE,Runtime(s)
MS Clustering,0.7837116064055419,0.760860381110676,0.5222007228157333,0.22172438191254992,0.009087085723876953
DP-GRAMS-C,0.7017047016403378,0.7338137196379694,0.4803362391032992,0.9923298370587422,0.017683982849121094
KMeans,0.7302382722834697,0.7581756800057784,0.5528190123564095,0.06625468519261159,0.02364206314086914
DP-KMeans,0.4379852727861605,0.5468323002365371,0.21164047599851774,5.13787508069591,0.011214971542358398
