Eps_modes,Algorithm,ARI,NMI,Silhouette,MSE,Std_ARI,Std_NMI,Std_Silhouette,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
0.1,DP-GRAMS-C,0.6457663330602339,0.7146012586039376,0.4998541259761253,3.081115389437243,0.07465813382230106,0.05633837936463009,0.033128816379535866,1.839616916818483,0.018790054321289062,0.004602779544818233
0.1,DP-KMeans,0.4852021615956759,0.5697415549488628,0.4511836814399416,6.737031013118691,0.16777000162127412,0.16678007638178793,0.22002392617980165,1.8158744726072356,0.008532106876373291,0.0006915247757062231
0.5,DP-GRAMS-C,0.7337080097002845,0.7585253286231669,0.5432172939298541,0.19256404476504754,0.04348264321869534,0.029843996037731562,0.010689351859141844,0.07016715118529983,0.017401564121246337,5.166785507412763e-05
0.5,DP-KMeans,0.4566236753511859,0.5201560353428417,0.327383679012691,6.528380658054388,0.22522980128528206,0.2303587134608936,0.24216837264620256,2.0235961749465736,0.008419537544250488,0.0005240189618378254
1,DP-GRAMS-C,0.7423040301249308,0.7529041478061975,0.534709162981487,0.1477275149442588,0.03837129847350106,0.02776789380956811,0.012238266016265422,0.041384549529064875,0.017342793941497802,0.00010105388235693102
1,DP-KMeans,0.5019893179696486,0.5887969695327985,0.3754919831057481,5.534359772084466,0.14600826146165147,0.16214195939343676,0.19061864966513878,1.7546451391997995,0.008016383647918702,0.0007348859117950179
2,DP-GRAMS-C,0.7218615736811744,0.7396887714233022,0.542534679745843,0.14098687127308168,0.040614464819353886,0.028318110796816013,0.010071343957665093,0.04634319974178771,0.017497563362121583,0.00022918512067641894
2,DP-KMeans,0.5318923519355562,0.6182623515429918,0.46806517411294735,4.01179705872862,0.11182459756047565,0.10512738064428004,0.14286329834736697,1.750821099014182,0.007875823974609375,0.000722165811649254
5,DP-GRAMS-C,0.7135057550391986,0.7260434013869663,0.5433681794286895,0.12752280463658877,0.028535025028001038,0.017626480385956638,0.007226253740113194,0.036071428309597454,0.017633819580078126,0.00020068867954213055
5,DP-KMeans,0.5862859667752013,0.6775181827053869,0.5164440996979545,2.227098015744368,0.09791194245111365,0.07204103421067551,0.11078302211283454,1.5790131913218561,0.007602858543395996,0.0008270579487838837
10,DP-GRAMS-C,0.7302324286042398,0.7411220938059591,0.5382763941813516,0.132002773994878,0.037764842906151966,0.026572712344374527,0.010883682261916135,0.03610760570782068,0.017438530921936035,7.058760429596776e-05
10,DP-KMeans,0.6525806302252597,0.7078866502543049,0.533785021223778,0.9474643370243886,0.09533372055532485,0.061914103240096365,0.08425537984467076,1.1842336148082448,0.0074713706970214845,0.0008062513559862229
