n,epsilon,DP_MSE_mean,DP_MSE_se,MS_MSE_mean,MS_MSE_se,DP_time_mean,DP_time_se,MS_time_mean,MS_time_se
700,0.1,1.3049043702216865,0.20014217328321882,0.008972261073189542,0.0004287425695910698,0.013530112546868622,4.879434218482075e-05,0.009714995766989887,2.9524196705894168e-05
700,0.2,0.41603252208831154,0.05531219677835005,0.008972261073189542,0.0004287425695910698,0.014184308354742825,8.618911977688345e-05,0.009714995766989887,2.9524196705894168e-05
700,0.5,0.401914771644014,0.04299564849070806,0.008972261073189542,0.0004287425695910698,0.013697900029364973,7.921718679003951e-05,0.009714995766989887,2.9524196705894168e-05
700,1,0.121035588484196,0.013066344490385988,0.008972261073189542,0.0004287425695910698,0.01347511044004932,0.00014492180342430986,0.009714995766989887,2.9524196705894168e-05
700,5,0.017287213972781053,0.002469714055553437,0.008972261073189542,0.0004287425695910698,0.012956562405452132,8.281418468053413e-06,0.009714995766989887,2.9524196705894168e-05
1000,0.1,0.41678200110459074,0.03784411694293958,0.0059195082984772225,0.00011046843841242323,0.021040164690930396,9.181495860561652e-05,0.01806992704514414,8.262956287024126e-05
1000,0.2,0.28219680001780845,0.03507319221617612,0.0059195082984772225,0.00011046843841242323,0.021005827048793436,9.117582739922409e-05,0.01806992704514414,8.262956287024126e-05
1000,0.5,0.20120819662507836,0.025009570740929608,0.0059195082984772225,0.00011046843841242323,0.020743295771535487,5.232137420114981e-05,0.01806992704514414,8.262956287024126e-05
1000,1,0.07237972580150645,0.007924516400883513,0.0059195082984772225,0.00011046843841242323,0.019972960406448692,7.398371210956152e-05,0.01806992704514414,8.262956287024126e-05
1000,5,0.01255917587508255,0.0013081754871738475,0.0059195082984772225,0.00011046843841242323,0.02008186460006982,7.983326060340331e-05,0.01806992704514414,8.262956287024126e-05
2000,0.1,0.1971184900917787,0.016914263572937186,0.0061094826820690075,9.062218734027218e-05,0.05912271043052897,0.00038375560649059267,0.070440747984685,0.0002220839372731914
2000,0.2,0.13259186402667472,0.012582832317201337,0.0061094826820690075,9.062218734027218e-05,0.05723758131498471,0.00012725667016895282,0.070440747984685,0.0002220839372731914
2000,0.5,0.08299432271438888,0.007609074418073532,0.0061094826820690075,9.062218734027218e-05,0.055887885310221465,0.00024502618365370056,0.070440747984685,0.0002220839372731914
2000,1,0.02215274298677425,0.0022298483308857064,0.0061094826820690075,9.062218734027218e-05,0.05711962094064802,0.0002377655286499015,0.070440747984685,0.0002220839372731914
2000,5,0.008265086345628753,0.0004965800396444099,0.0061094826820690075,9.062218734027218e-05,0.05623223962029442,0.00019878419187995683,0.070440747984685,0.0002220839372731914
5000,0.1,0.09623463509702142,0.008251890220933263,0.0019469622262262762,2.4552940847913326e-06,0.24605455207638444,0.0008745355089243244,0.48458186237839984,0.007677460859814298
5000,0.2,0.06630884279793921,0.007690186242961206,0.0019469622262262762,2.4552940847913326e-06,0.24074255626183003,0.0008796230705392591,0.48458186237839984,0.007677460859814298
5000,0.5,0.018394477232593208,0.0025837884803165388,0.0019469622262262762,2.4552940847913326e-06,0.24306796246673912,0.0008418249201409804,0.48458186237839984,0.007677460859814298
5000,1,0.005906636897535712,0.0006647508432461763,0.0019469622262262762,2.4552940847913326e-06,0.2440609228098765,0.0006392559100681053,0.48458186237839984,0.007677460859814298
5000,5,0.0024285562496182706,9.305518780956575e-05,0.0019469622262262762,2.4552940847913326e-06,0.24442623961949722,0.0005743896459719153,0.48458186237839984,0.007677460859814298
