n_samples,MS_mean,MS_se,DP_mean,DP_se,MS_time_mean,MS_time_se,DP_time_mean,DP_time_se
700,0.008972261073189542,0.0004287425695910698,0.10823761823863476,0.012006300428654073,0.009617579204495996,1.879294822589818e-05,0.013073879026342184,3.200430442753232e-05
1000,0.0059195082984772225,0.00011046843841242323,0.07684612483377508,0.010096287797638792,0.017397666559554638,4.0843177278556454e-05,0.01990727715892717,3.4640174887114095e-05
2000,0.0061094826820690075,9.062218734027218e-05,0.02755031883819879,0.0038475700819609105,0.06951358339283616,9.786878139979985e-05,0.05520553744863719,7.242506243206341e-05
5000,0.0019469622262262762,2.4552940847913326e-06,0.005704789225622073,0.0006851731034182415,0.48311316258041187,0.019269194959481276,0.24349737083539366,0.0047292521684028765
