n_samples,epsilon,DP_mse_mean,DP_mse_se,PMS_mse,DP_runtime_mean,DP_runtime_std
200,0.1,0.3443717204162806,0.05470024684337522,0.0,0.02917607717681676,0.016466659608628014
200,0.2,0.09902542403797451,0.012052573658635575,0.0,0.022016216581687332,0.00469363451639992
200,0.5,0.02429245111210666,0.0021226330625620125,0.0,0.019069677067454903,0.0043050049429701285
200,1.0,0.005064551687340212,0.0005136757271039901,0.0,0.020917381241451947,0.005492920955914606
500,0.1,0.09156785446700835,0.00768700862828451,0.0,0.08021788956830278,0.013761715242895795
500,0.2,0.03684317443541803,0.004229568005087778,0.0,0.07628691038116812,0.01076427648998258
500,0.5,0.00636806593967913,0.0007297773293283976,0.0,0.07022472522221505,0.011420972637862887
500,1.0,0.0014932600105277288,0.00020155561004526804,0.0,0.07123705840203912,0.011207219252917995
1000,0.1,0.03881122030880816,0.004465735395906994,0.0,0.22953917287522926,0.03792350776375209
1000,0.2,0.012400704805569044,0.0013229997354794547,0.0,0.22510524165118112,0.05317861377538966
1000,0.5,0.0021082991173139547,0.0001663746787399435,0.0,0.21839184158015995,0.03419678040715635
1000,1.0,0.0005475758080961052,4.128389446590095e-05,0.0,0.2174081666627899,0.049050509093270196
2000,0.1,0.017983313642000308,0.002059315922361053,0.0,0.8097704709274695,0.20345250485563837
2000,0.2,0.006378572939560084,0.0007346253063195149,0.0,0.8059341187356039,0.15017749361187058
2000,0.5,0.0007744632188009875,5.007858849882355e-05,0.0,0.8173519728821702,0.198514490867554
2000,1.0,0.0002336894959900017,1.609919583940837e-05,0.0,0.7553218208253384,0.1387853193939734
