n_samples,epsilon,run_idx,seed,dp_mse,dp_runtime_s,timestamp
200,0.1,0,200010,0.891339971143429,0.07974791701417416,2026-01-26 23:35:57
200,0.1,1,200011,1.0642326117015424,0.04918500001076609,2026-01-26 23:35:57
200,0.1,2,200012,1.0518078770904349,0.05786837497726083,2026-01-26 23:35:57
200,0.1,3,200013,0.48085778191340806,0.06294083397369832,2026-01-26 23:35:57
200,0.1,4,200014,0.5196392972995431,0.05348441697424278,2026-01-26 23:35:57
200,0.1,5,200015,0.5380985671346474,0.053851625008974224,2026-01-26 23:35:57
200,0.1,7,200017,1.6037716103686606,0.060390250000637025,2026-01-26 23:35:57
200,0.1,6,200016,0.1407790218685623,0.09425949997967109,2026-01-26 23:35:57
200,0.1,8,200018,0.6588122155610833,0.08691804204136133,2026-01-26 23:35:58
200,0.1,13,200023,0.7004319168318642,0.02453583403257653,2026-01-26 23:35:58
200,0.1,9,200019,0.7897520725417796,0.07191070896806195,2026-01-26 23:35:58
200,0.1,12,200022,0.33978662791625863,0.050013542000669986,2026-01-26 23:35:58
200,0.1,10,200020,1.8439859127866658,0.09289787500165403,2026-01-26 23:35:58
200,0.1,11,200021,0.14685264300237524,0.07389649999095127,2026-01-26 23:35:58
200,0.1,14,200024,0.23991853034217242,0.048985375033225864,2026-01-26 23:35:58
200,0.1,16,200026,0.3582735308602527,0.05697937501827255,2026-01-26 23:35:58
200,0.1,15,200025,1.4409028110763225,0.06798187497770414,2026-01-26 23:35:58
200,0.1,19,200029,0.6557626350484204,0.058135083003435284,2026-01-26 23:35:58
200,0.1,18,200028,0.2945601179307933,0.06129075004719198,2026-01-26 23:35:58
200,0.1,17,200027,0.6118121234614725,0.08307208400219679,2026-01-26 23:35:58
200,0.2,0,200020,0.479763970930955,0.19569033395964652,2026-01-26 23:36:03
200,0.2,2,200022,0.10255601346450981,0.07772654201835394,2026-01-26 23:36:03
200,0.2,1,200021,0.03164793304227322,0.11060937499860302,2026-01-26 23:36:03
200,0.2,4,200024,0.05716512643224018,0.07455912500154227,2026-01-26 23:36:03
200,0.2,3,200023,0.1463101497211615,0.08975437498884276,2026-01-26 23:36:03
200,0.2,5,200025,0.474628944467566,0.07848237501457334,2026-01-26 23:36:03
200,0.2,6,200026,0.31730578575307183,0.0828617499792017,2026-01-26 23:36:03
200,0.2,7,200027,0.17490770707502945,0.06591866700910032,2026-01-26 23:36:03
200,0.2,9,200029,0.11931161157503055,0.06505387503420934,2026-01-26 23:36:03
200,0.2,10,200030,0.2631814179562531,0.07223524997243658,2026-01-26 23:36:03
200,0.2,8,200028,0.06997187361444128,0.09323637501802295,2026-01-26 23:36:03
200,0.2,12,200032,0.039937131281603526,0.05452358297770843,2026-01-26 23:36:03
200,0.2,13,200033,0.05928698237545964,0.053569915995467454,2026-01-26 23:36:03
200,0.2,11,200031,0.14802157260963014,0.09254787501413375,2026-01-26 23:36:03
200,0.2,14,200034,0.1514814299038316,0.05663450004067272,2026-01-26 23:36:03
200,0.2,16,200036,0.11805591258758968,0.0617348329978995,2026-01-26 23:36:03
200,0.2,15,200035,0.2103835781893137,0.07130245899315923,2026-01-26 23:36:03
200,0.2,17,200037,0.16198903623301789,0.0656351670040749,2026-01-26 23:36:03
200,0.2,19,200039,0.43780938628909866,0.0615382079849951,2026-01-26 23:36:03
200,0.2,18,200038,0.15082238653843696,0.07588441699044779,2026-01-26 23:36:03
200,0.5,0,200050,0.043950402856217326,0.06342437502462417,2026-01-26 23:36:09
200,0.5,2,200052,0.0571274347520311,0.04680858296342194,2026-01-26 23:36:09
200,0.5,1,200051,0.012444670761912989,0.09256958303740248,2026-01-26 23:36:09
200,0.5,3,200053,0.023203048186411876,0.0719395840424113,2026-01-26 23:36:09
200,0.5,7,200057,0.03366573722026912,0.041982916998676956,2026-01-26 23:36:09
200,0.5,5,200055,0.056759896953443745,0.05931162502383813,2026-01-26 23:36:09
200,0.5,6,200056,0.03301821755275079,0.0624349580029957,2026-01-26 23:36:09
200,0.5,8,200058,0.0151352219827338,0.06717487500282004,2026-01-26 23:36:09
200,0.5,4,200054,0.03317220876744978,0.09746737504610792,2026-01-26 23:36:09
200,0.5,10,200060,0.028501141765441433,0.04919708298984915,2026-01-26 23:36:09
200,0.5,12,200062,0.03405949060360576,0.052453082986176014,2026-01-26 23:36:09
200,0.5,9,200059,0.061146197255788536,0.08752574998652562,2026-01-26 23:36:09
200,0.5,15,200065,0.010500372512883376,0.03409054200164974,2026-01-26 23:36:09
200,0.5,13,200063,0.04424008806691722,0.05520541704026982,2026-01-26 23:36:09
200,0.5,11,200061,0.03286527134651562,0.08458495896775275,2026-01-26 23:36:09
200,0.5,14,200064,0.01847096066570535,0.06988558400189504,2026-01-26 23:36:09
200,0.5,19,200069,0.05123138546059213,0.03927154099801555,2026-01-26 23:36:09
200,0.5,17,200067,0.0305270037882058,0.06560591701418161,2026-01-26 23:36:09
200,0.5,16,200066,0.007821545320943602,0.07803120801690966,2026-01-26 23:36:09
200,0.5,18,200068,0.025213926658752203,0.07671945897163823,2026-01-26 23:36:09
200,1.0,0,200100,0.01420077203140324,0.04928762500640005,2026-01-26 23:36:13
200,1.0,1,200101,0.00913408632686665,0.05981620802776888,2026-01-26 23:36:14
200,1.0,2,200102,0.009467305485295945,0.06639329099562019,2026-01-26 23:36:14
200,1.0,4,200104,0.008143964849361598,0.06583600002340972,2026-01-26 23:36:14
200,1.0,3,200103,0.012977792913679344,0.09692387498216704,2026-01-26 23:36:14
