n_samples,epsilon,run_idx,data_seed,dp_seed,pms_mse,pms_runtime_s,dp_mse,dp_runtime_s,timestamp
200,0.1,0,70001000,90001000,0.0,0.019329917151480913,0.2454359045590229,0.031470834044739604,2026-03-07 20:14:58
200,0.1,1,70001001,90001001,0.0,0.020217375131323934,0.5719026837069225,0.03487295797094703,2026-03-07 20:14:58
200,0.1,2,70001002,90001002,0.0,0.029366582864895463,0.34846255905526446,0.03581220889464021,2026-03-07 20:14:58
200,0.1,3,70001003,90001003,0.0,0.018653459148481488,0.6825755845922248,0.03818516619503498,2026-03-07 20:14:59
200,0.1,5,70001005,90001005,0.0,0.015065375017002225,0.3949759859443283,0.02129729208536446,2026-03-07 20:14:59
200,0.1,4,70001004,90001004,0.0,0.017332708928734064,0.2924705844627921,0.03397141699679196,2026-03-07 20:14:59
200,0.1,6,70001006,90001006,0.0,0.021404040977358818,0.3657967592886726,0.0367380001116544,2026-03-07 20:14:59
200,0.1,7,70001007,90001007,0.0,0.013965916819870472,0.32148926724924787,0.04531541606411338,2026-03-07 20:14:59
200,0.1,11,70001011,90001011,0.0,0.010128833120688796,0.38571529550295625,0.0212202500551939,2026-03-07 20:14:59
200,0.1,9,70001009,90001009,0.0,0.018947500037029386,0.836426789214416,0.02610004087910056,2026-03-07 20:14:59
200,0.1,8,70001008,90001008,0.0,0.012706374982371926,2.268000449490336,0.042929207906126976,2026-03-07 20:14:59
200,0.1,10,70001010,90001010,0.0,0.008307416923344135,1.6997939435880565,0.04785545798949897,2026-03-07 20:14:59
200,0.1,12,70001012,90001012,0.0,0.008542250143364072,1.0276425677989907,0.03182887495495379,2026-03-07 20:14:59
200,0.1,13,70001013,90001013,0.0,0.016134082805365324,0.5486766752284056,0.026656457921490073,2026-03-07 20:14:59
200,0.1,15,70001015,90001015,0.0,0.011754499981179833,0.18465612137937948,0.033042917028069496,2026-03-07 20:14:59
200,0.1,14,70001014,90001014,0.0,0.01719245803542435,0.11169433441670948,0.028112333035096526,2026-03-07 20:14:59
200,0.1,16,70001016,90001016,0.0,0.01878325012512505,0.8150105007554131,0.028671208070591092,2026-03-07 20:14:59
200,0.1,17,70001017,90001017,0.0,0.02887487504631281,0.7217447013260437,0.024202916072681546,2026-03-07 20:14:59
200,0.1,19,70001019,90001019,0.0,0.015660124830901623,0.7981009040492014,0.022674124920740724,2026-03-07 20:14:59
200,0.1,18,70001018,90001018,0.0,0.013897374970838428,0.32711583728256444,0.03131787502206862,2026-03-07 20:14:59
200,0.2,0,70002000,90002000,0.0,0.008483000099658966,0.11210636795322187,0.02622670796699822,2026-03-07 20:15:01
200,0.2,2,70002002,90002002,0.0,0.01600520801730454,0.12410598340629755,0.042459124932065606,2026-03-07 20:15:01
200,0.2,1,70002001,90002001,0.0,0.02771362499333918,0.09156543015518621,0.029605916002765298,2026-03-07 20:15:01
200,0.2,3,70002003,90002003,0.0,0.01364312507212162,0.2677807966389229,0.041322499979287386,2026-03-07 20:15:01
200,0.2,4,70002004,90002004,0.0,0.02102654194459319,0.048182773680576725,0.03445970802567899,2026-03-07 20:15:01
200,0.2,5,70002005,90002005,0.0,0.013087916886433959,0.10212915535069897,0.031703167129307985,2026-03-07 20:15:01
200,0.2,7,70002007,90002007,0.0,0.013403707882389426,0.1008713030546334,0.030169667210429907,2026-03-07 20:15:01
200,0.2,8,70002008,90002008,0.0,0.017479583155363798,0.10956377408664558,0.026179375126957893,2026-03-07 20:15:01
200,0.2,6,70002006,90002006,0.0,0.020253874827176332,0.2984753648203146,0.039108833065256476,2026-03-07 20:15:01
200,0.2,9,70002009,90002009,0.0,0.014911375008523464,0.13910729297757757,0.030337666859850287,2026-03-07 20:15:01
200,0.2,10,70002010,90002010,0.0,0.02594837499782443,0.24798610265114968,0.033071041107177734,2026-03-07 20:15:01
200,0.2,12,70002012,90002012,0.0,0.008406040957197547,0.11045580166037024,0.0333706249948591,2026-03-07 20:15:01
200,0.2,15,70002015,90002015,0.0,0.008674749871715903,0.15253003105857235,0.02795112505555153,2026-03-07 20:15:01
200,0.2,11,70002011,90002011,0.0,0.00866716611199081,0.1460445623220335,0.05297970795072615,2026-03-07 20:15:01
200,0.2,13,70002013,90002013,0.0,0.014007416786625981,0.18192157676042345,0.03874299977906048,2026-03-07 20:15:01
200,0.2,14,70002014,90002014,0.0,0.01945645804516971,0.08311879994877745,0.03382329107262194,2026-03-07 20:15:01
200,0.2,16,70002016,90002016,0.0,0.012092958204448223,0.046129390983749866,0.04001350002363324,2026-03-07 20:15:01
200,0.2,17,70002017,90002017,0.0,0.017791375052183867,0.14868054465382077,0.02369858301244676,2026-03-07 20:15:01
200,0.2,19,70002019,90002019,0.0,0.009245583089068532,0.09737474586177278,0.024911709129810333,2026-03-07 20:15:01
200,0.2,18,70002018,90002018,0.0,0.016804999904707074,0.13067850992987828,0.02639350015670061,2026-03-07 20:15:01
200,0.5,0,70005000,90005000,0.0,0.013966541970148683,0.04009363750838519,0.037054166896268725,2026-03-07 20:15:04
200,0.5,1,70005001,90005001,0.0,0.016717459075152874,0.0607614753982398,0.04570079199038446,2026-03-07 20:15:04
200,0.5,3,70005003,90005003,0.0,0.011788666946813464,0.022589623456434067,0.02727133291773498,2026-03-07 20:15:04
200,0.5,2,70005002,90005002,0.0,0.013885832857340574,0.052865547253103135,0.03769954084418714,2026-03-07 20:15:04
200,0.5,4,70005004,90005004,0.0,0.01905016601085663,0.04289465617557121,0.03432825021445751,2026-03-07 20:15:04
200,0.5,5,70005005,90005005,0.0,0.01655054115690291,0.06367218308764647,0.03628558409400284,2026-03-07 20:15:04
200,0.5,7,70005007,90005007,0.0,0.020169417141005397,0.05682478945071292,0.026269708992913365,2026-03-07 20:15:04
200,0.5,10,70005010,90005010,0.0,0.013903792016208172,0.017014992535493836,0.02739537484012544,2026-03-07 20:15:04
200,0.5,6,70005006,90005006,0.0,0.018052542116492987,0.02329987158760924,0.053330458933487535,2026-03-07 20:15:04
200,0.5,9,70005009,90005009,0.0,0.009583374951034784,0.05713607824085912,0.04118070797994733,2026-03-07 20:15:04
200,0.5,8,70005008,90005008,0.0,0.028044375125318766,0.07559427448160007,0.03167212498374283,2026-03-07 20:15:04
200,0.5,11,70005011,90005011,0.0,0.01975116692483425,0.07014147507342719,0.04014162509702146,2026-03-07 20:15:04
200,0.5,12,70005012,90005012,0.0,0.010490792104974389,0.07174268661444591,0.031529624946415424,2026-03-07 20:15:04
200,0.5,16,70005016,90005016,0.0,0.008816084126010537,0.013981574309265317,0.022031124914065003,2026-03-07 20:15:04
200,0.5,14,70005014,90005014,0.0,0.015834083082154393,0.022884589433925816,0.03590370807796717,2026-03-07 20:15:04
200,0.5,15,70005015,90005015,0.0,0.009549415903165936,0.04080572968823027,0.0313377920538187,2026-03-07 20:15:04
200,0.5,13,70005013,90005013,0.0,0.011935458052903414,0.02071928023067168,0.05324354115873575,2026-03-07 20:15:04
200,0.5,17,70005017,90005017,0.0,0.020603874931111932,0.047514211360867475,0.025383834028616548,2026-03-07 20:15:04
200,0.5,19,70005019,90005019,0.0,0.017454582965001464,0.021902933443631714,0.020325040910393,2026-03-07 20:15:04
200,0.5,18,70005018,90005018,0.0,0.022388584213331342,0.035682933678985874,0.02345770807005465,2026-03-07 20:15:04
200,1.0,0,70010000,90010000,0.0,0.015270000090822577,0.011286936427428,0.0369188750628382,2026-03-07 20:15:06
200,1.0,1,70010001,90010001,0.0,0.022600917145609856,0.05026966553497512,0.03368904208764434,2026-03-07 20:15:06
200,1.0,2,70010002,90010002,0.0,0.025487707927823067,0.0422882620759669,0.040002333000302315,2026-03-07 20:15:06
200,1.0,3,70010003,90010003,0.0,0.02217274997383356,0.03046090122552616,0.03760570799931884,2026-03-07 20:15:06
200,1.0,5,70010005,90010005,0.0,0.012770375004038215,0.009310858692489321,0.030764790950343013,2026-03-07 20:15:06
200,1.0,4,70010004,90010004,0.0,0.017808791948482394,0.04002318006804893,0.03964154189452529,2026-03-07 20:15:07
200,1.0,6,70010006,90010006,0.0,0.026672333013266325,0.01172166009021399,0.03613633313216269,2026-03-07 20:15:07
200,1.0,7,70010007,90010007,0.0,0.015949874883517623,0.1263390031393228,0.0397447079885751,2026-03-07 20:15:07
200,1.0,9,70010009,90010009,0.0,0.011500791180878878,0.08432688160478398,0.03734312509186566,2026-03-07 20:15:07
200,1.0,10,70010010,90010010,0.0,0.02461204188875854,0.020365163735471644,0.02833708398975432,2026-03-07 20:15:07
200,1.0,8,70010008,90010008,0.0,0.013263708911836147,0.08487732522968199,0.0484595000743866,2026-03-07 20:15:07
200,1.0,12,70010012,90010012,0.0,0.010258291848003864,0.01912034969094269,0.03355754096992314,2026-03-07 20:15:07
200,1.0,13,70010013,90010013,0.0,0.01312545919790864,0.04378355291892053,0.027660583145916462,2026-03-07 20:15:07
200,1.0,11,70010011,90010011,0.0,0.026691708946600556,0.029807758212444174,0.029747625114396214,2026-03-07 20:15:07
200,1.0,14,70010014,90010014,0.0,0.018190375063568354,0.01986460204929745,0.0312774998601526,2026-03-07 20:15:07
200,1.0,15,70010015,90010015,0.0,0.008912333054468036,0.014110202087025361,0.03708708309568465,2026-03-07 20:15:07
200,1.0,17,70010017,90010017,0.0,0.01649433304555714,0.015867639743523697,0.025815207976847887,2026-03-07 20:15:07
200,1.0,16,70010016,90010016,0.0,0.01579916593618691,0.0350333692348848,0.027643375098705292,2026-03-07 20:15:07
