Algorithm,Eps_modes,Run,Seed,ARI,NMI,MSE,Runtime_s,timestamp
DP-GRAMS-C,0.001,0,41,0.15306788236929547,0.2679733976573643,267.6901380833294,0.5528950691223145,2025-12-06 13:41:01
DP-GRAMS-C,0.001,2,43,0.1430692515317041,0.23480161700795335,308.43265031520957,0.7008821964263916,2025-12-06 13:41:01
DP-GRAMS-C,0.001,7,48,0.1154983323391121,0.2589157007873596,360.3175585222336,0.583881139755249,2025-12-06 13:41:01
DP-GRAMS-C,0.001,3,44,0.08376918317793322,0.19993331593610628,283.24634402686723,0.6925230026245117,2025-12-06 13:41:01
DP-GRAMS-C,0.001,4,45,0.09227738040587509,0.21406527131585448,272.0294215194954,0.6815412044525146,2025-12-06 13:41:01
DP-GRAMS-C,0.001,1,42,0.1611922781182484,0.28870553353964035,271.4101047929415,0.745563268661499,2025-12-06 13:41:01
DP-GRAMS-C,0.001,6,47,0.13660560384674494,0.24632897429084813,250.90144661138362,0.6899218559265137,2025-12-06 13:41:01
DP-GRAMS-C,0.001,5,46,0.1424706348334834,0.25259679996286993,282.51771542980373,0.7504391670227051,2025-12-06 13:41:01
DP-GRAMS-C,0.001,8,49,0.08429579291047745,0.24270348378376197,265.25489582515246,0.545619010925293,2025-12-06 13:41:01
DP-GRAMS-C,0.001,12,53,0.07224890809413718,0.2135327806551997,265.2633213500688,0.582489013671875,2025-12-06 13:41:01
DP-GRAMS-C,0.001,10,51,0.1379289780888703,0.25711420421311987,270.5915177232856,0.6228671073913574,2025-12-06 13:41:01
DP-GRAMS-C,0.001,11,52,0.0947066415364703,0.17896822223333456,293.41967714815394,0.5970149040222168,2025-12-06 13:41:01
DP-GRAMS-C,0.001,9,50,0.166255569495388,0.2910846139797861,253.82575454852014,0.6416888236999512,2025-12-06 13:41:01
DP-GRAMS-C,0.001,14,55,0.11621796645311994,0.255594591088458,282.2088204648951,0.5765902996063232,2025-12-06 13:41:02
DP-GRAMS-C,0.001,13,54,0.08678380988056693,0.25666990456670047,290.72647592756545,0.6531422138214111,2025-12-06 13:41:02
DP-GRAMS-C,0.001,15,56,0.09676944501807043,0.2098592607225647,279.37876070329486,0.5947780609130859,2025-12-06 13:41:02
DP-GRAMS-C,0.001,16,57,0.09706025145302058,0.25234420967630994,309.92181921703093,0.5555870532989502,2025-12-06 13:41:02
DP-GRAMS-C,0.001,19,60,0.08594460253863642,0.21768856472314627,263.2420475655558,0.35215306282043457,2025-12-06 13:41:02
DP-GRAMS-C,0.001,17,58,0.13626864249097678,0.28156369462353814,262.72791986393435,0.3664822578430176,2025-12-06 13:41:02
DP-GRAMS-C,0.001,18,59,0.1620243135394455,0.2776211692888281,315.38581388326156,0.37465381622314453,2025-12-06 13:41:02
DP-GRAMS-C,0.01,0,41,0.32109023691772864,0.4719362370861367,74.5410339308313,0.5373787879943848,2025-12-06 13:41:10
DP-GRAMS-C,0.01,2,43,0.29709103229212713,0.4539286428795346,73.22837132379601,0.4798901081085205,2025-12-06 13:41:10
DP-GRAMS-C,0.01,1,42,0.32922010961011516,0.4732501272237305,62.27547265709755,0.5534241199493408,2025-12-06 13:41:10
DP-GRAMS-C,0.01,3,44,0.3860273634948951,0.5284607451737362,65.1099898176561,0.5679869651794434,2025-12-06 13:41:11
DP-GRAMS-C,0.01,4,45,0.3323332121275905,0.47193298559360936,58.418462022603805,0.592731237411499,2025-12-06 13:41:11
DP-GRAMS-C,0.01,5,46,0.35946578754146696,0.48554995453072425,52.90498142919031,0.5807929039001465,2025-12-06 13:41:11
DP-GRAMS-C,0.01,7,48,0.292983421558974,0.4704130482438696,86.14227397128496,0.5546681880950928,2025-12-06 13:41:11
DP-GRAMS-C,0.01,6,47,0.3326365126137803,0.47228683340719696,55.9444988532987,0.6577780246734619,2025-12-06 13:41:11
DP-GRAMS-C,0.01,8,49,0.3563919305819096,0.4914432117091323,71.0397046133633,0.5064640045166016,2025-12-06 13:41:11
DP-GRAMS-C,0.01,9,50,0.36100995893114946,0.48219459459951625,48.38160829578683,0.564702033996582,2025-12-06 13:41:11
DP-GRAMS-C,0.01,10,51,0.3047804155603324,0.4671775384015933,70.38938947729129,0.519629955291748,2025-12-06 13:41:11
DP-GRAMS-C,0.01,11,52,0.3399474036685415,0.4864744457123844,73.75937270140699,0.507777214050293,2025-12-06 13:41:11
DP-GRAMS-C,0.01,12,53,0.3064338960350099,0.45804304702131504,78.7319434504439,0.5017778873443604,2025-12-06 13:41:11
DP-GRAMS-C,0.01,14,55,0.3468429547965099,0.49008343350560846,95.57312916468197,0.47752976417541504,2025-12-06 13:41:11
DP-GRAMS-C,0.01,13,54,0.2831567082920324,0.43864828689693186,112.5878326431343,0.5503659248352051,2025-12-06 13:41:11
DP-GRAMS-C,0.01,16,57,0.33024718090942706,0.4584068006403153,92.13170556281489,0.413362979888916,2025-12-06 13:41:11
DP-GRAMS-C,0.01,15,56,0.3152201274106313,0.46417021344393466,63.77205837068861,0.5549619197845459,2025-12-06 13:41:11
DP-GRAMS-C,0.01,18,59,0.3377139798371704,0.47132975965934976,81.99335778424923,0.3607289791107178,2025-12-06 13:41:11
DP-GRAMS-C,0.01,19,60,0.357443959825341,0.4882200162291476,64.59403510671396,0.3184089660644531,2025-12-06 13:41:11
DP-GRAMS-C,0.01,17,58,0.31967910392001125,0.450193251327581,85.88443409659183,0.4138369560241699,2025-12-06 13:41:11
DP-GRAMS-C,0.1,0,41,0.3680855574754707,0.4860382648556311,68.42623937159239,0.5022599697113037,2025-12-06 13:41:19
DP-GRAMS-C,0.1,1,42,0.32802895494082607,0.46694981959490883,65.65339071559767,0.45295190811157227,2025-12-06 13:41:19
DP-GRAMS-C,0.1,2,43,0.27936142219876925,0.4451537549649705,74.75557607637782,0.45095205307006836,2025-12-06 13:41:19
DP-GRAMS-C,0.1,6,47,0.40842528878398215,0.5376621630797329,58.94145953712226,0.4295318126678467,2025-12-06 13:41:19
DP-GRAMS-C,0.1,4,45,0.33469187385971616,0.4695985067885104,51.8552905404228,0.47110819816589355,2025-12-06 13:41:19
DP-GRAMS-C,0.1,3,44,0.36347401311515004,0.5142366398984064,73.18090097528211,0.49626612663269043,2025-12-06 13:41:19
DP-GRAMS-C,0.1,5,46,0.3646728626816035,0.4986858718027057,50.862804313073106,0.5125823020935059,2025-12-06 13:41:19
DP-GRAMS-C,0.1,7,48,0.3261553616920538,0.48055074291657174,67.63070864513978,0.49996399879455566,2025-12-06 13:41:19
