Algorithm,Eps_modes,Run,Seed,ARI,NMI,MSE,Runtime_s,timestamp
DP-KMeans,0.001,18,1059,0.055794314463463945,0.1575410083573859,1176.949027543631,0.46410202980041504,2025-12-06 13:41:07
DP-KMeans,0.01,0,1041,0.09795862014715873,0.19845225571731012,1068.3348821168988,0.48813915252685547,2025-12-06 13:41:15
DP-KMeans,0.01,1,1042,0.07153700121042712,0.17318440554394332,983.3155097696014,0.46474194526672363,2025-12-06 13:41:15
DP-KMeans,0.01,6,1047,0.014396336348353998,0.10107867136524117,840.0305136414054,0.4394080638885498,2025-12-06 13:41:15
DP-KMeans,0.01,3,1044,0.08118010623295548,0.16181016192249967,912.0452010953608,0.5031330585479736,2025-12-06 13:41:15
DP-KMeans,0.01,2,1043,0.057446984283339456,0.17193673397381218,1109.8003898177983,0.54547119140625,2025-12-06 13:41:15
DP-KMeans,0.01,4,1045,0.06879422251698468,0.18632461352881258,1091.8917372012895,0.5163590908050537,2025-12-06 13:41:15
DP-KMeans,0.01,5,1046,0.006481727682132222,0.09282531402764123,970.2513141273146,0.5166137218475342,2025-12-06 13:41:15
DP-KMeans,0.01,7,1048,0.08219253050590129,0.1893965209495671,1217.292861165772,0.48796892166137695,2025-12-06 13:41:15
DP-KMeans,0.01,8,1049,0.09048194174489184,0.19943064610571445,1140.1341659241452,0.4806480407714844,2025-12-06 13:41:15
DP-KMeans,0.01,9,1050,0.0009997503773882387,0.042473822503976896,873.2887058197173,0.519622802734375,2025-12-06 13:41:15
DP-KMeans,0.01,11,1052,0.032134640731759784,0.12130568820992967,980.2451488373317,0.46886587142944336,2025-12-06 13:41:15
DP-KMeans,0.01,12,1053,0.03103950995431586,0.12027087598337773,1134.381276372318,0.4563782215118408,2025-12-06 13:41:15
DP-KMeans,0.01,10,1051,0.15805555264396248,0.27141717788103775,1029.8254438148938,0.5442709922790527,2025-12-06 13:41:15
DP-KMeans,0.01,13,1054,0.00982250212447524,0.09329488987955369,1031.8411732003087,0.5088109970092773,2025-12-06 13:41:15
DP-KMeans,0.01,15,1056,0.07782118351686276,0.19256217930281788,1137.4148398473894,0.5013947486877441,2025-12-06 13:41:15
DP-KMeans,0.01,14,1055,0.05676699903153189,0.14880455301650916,1007.7089010957891,0.5127842426300049,2025-12-06 13:41:15
DP-KMeans,0.01,16,1057,0.08650577255111076,0.19457772606007795,1079.7309095537855,0.43122410774230957,2025-12-06 13:41:16
DP-KMeans,0.01,17,1058,0.13040491151567937,0.22932229975800952,1067.5571316374392,0.40117907524108887,2025-12-06 13:41:16
DP-KMeans,0.01,18,1059,0.05364964485792323,0.18954546212512763,1143.0505182465565,0.406660795211792,2025-12-06 13:41:16
DP-KMeans,0.01,19,1060,0.0869748875674733,0.1942143214004812,1104.2823948502282,0.41472578048706055,2025-12-06 13:41:16
DP-KMeans,0.1,3,1044,0.08083766344583619,0.19058037457266516,1008.0500376560589,0.5713858604431152,2025-12-06 13:41:23
DP-KMeans,0.1,0,1041,0.09876074707035057,0.18632079701775828,1110.663688941418,0.6765191555023193,2025-12-06 13:41:23
DP-KMeans,0.1,1,1042,0.06305864656961528,0.17198805519209323,969.9258129120077,0.6739966869354248,2025-12-06 13:41:23
DP-KMeans,0.1,2,1043,0.08432037097918225,0.20950786502014912,1015.6316304632928,0.6533701419830322,2025-12-06 13:41:23
DP-KMeans,0.1,4,1045,0.03521223287546767,0.14343372493240267,1083.6086921817985,0.6227188110351562,2025-12-06 13:41:23
DP-KMeans,0.1,5,1046,0.04054770144017424,0.13175561263981658,918.9738137469727,0.5873579978942871,2025-12-06 13:41:23
DP-KMeans,0.1,6,1047,0.021777428304290053,0.14399509282904738,1175.3624835093422,0.626971960067749,2025-12-06 13:41:23
DP-KMeans,0.1,7,1048,0.06801993983510479,0.1752058568190667,1030.7714008334187,0.6322879791259766,2025-12-06 13:41:23
DP-KMeans,0.1,8,1049,0.010041720267501532,0.1002974456196475,1122.7998871824084,0.6023118495941162,2025-12-06 13:41:24
DP-KMeans,0.1,10,1051,0.06789814037641378,0.13794820733777,1012.0691913147817,0.6004800796508789,2025-12-06 13:41:24
DP-KMeans,0.1,9,1050,0.09554851699644949,0.20538163267826767,1015.2441547771205,0.6358952522277832,2025-12-06 13:41:24
DP-KMeans,0.1,12,1053,0.15167946965950893,0.2566951891354034,1061.499911812391,0.5942039489746094,2025-12-06 13:41:24
DP-KMeans,0.1,14,1055,0.0321773797964578,0.18457630491513954,1041.775263647988,0.5533239841461182,2025-12-06 13:41:24
DP-KMeans,0.1,13,1054,0.07608165507185942,0.17762502844283404,1081.3454458254328,0.5946290493011475,2025-12-06 13:41:24
DP-KMeans,0.1,15,1056,0.08421287989446569,0.2179101158815004,1044.3219970573941,0.5773608684539795,2025-12-06 13:41:24
DP-KMeans,0.1,11,1052,0.0647511398297431,0.19906957823607127,1028.7532591697025,0.7090528011322021,2025-12-06 13:41:24
DP-KMeans,0.1,17,1058,0.07948220335203104,0.1640909178791763,1021.0536962437516,0.41417407989501953,2025-12-06 13:41:24
DP-KMeans,0.1,16,1057,0.11559024643608923,0.23345486871330604,1024.8955953847576,0.4632232189178467,2025-12-06 13:41:24
DP-KMeans,0.1,19,1060,0.0029535557577847296,0.07553303556414306,1040.7524993217894,0.4063849449157715,2025-12-06 13:41:24
DP-KMeans,0.1,18,1059,0.033031762234475806,0.1433416212052821,847.197281899892,0.4557456970214844,2025-12-06 13:41:24
DP-KMeans,1.0,2,1043,0.0,0.0,913.7852953281696,0.3916449546813965,2025-12-06 13:41:32
DP-KMeans,1.0,5,1046,0.07454022541538934,0.15277247749249862,865.8992061261946,0.4143507480621338,2025-12-06 13:41:32
DP-KMeans,1.0,3,1044,0.0,0.0006662328710104311,974.0649088018263,0.4526050090789795,2025-12-06 13:41:32
DP-KMeans,1.0,4,1045,0.0,0.0,946.0048946597115,0.4698460102081299,2025-12-06 13:41:32
DP-KMeans,1.0,1,1042,-9.858588924716587e-08,0.0009304935787301771,887.7945494851922,0.49232983589172363,2025-12-06 13:41:32
