Algorithm,ARI,NMI,MSE,Runtime(s)
MS Clustering,0.3775789282422435,0.508522058296751,62.569275,0.8962230682373047
DP-GRAMS-C,0.3646555936857524,0.4834662646505781,68.64202034059721,0.2537720203399658
KMeans,0.3455732239946411,0.4908101775852347,49.145382,0.14091897010803223
DP-KMeans,0.07262107004145908,0.17626636877848495,733.6850366754998,0.32745814323425293
