Eps_modes,Algorithm,ARI,NMI,MSE,Std_ARI,Std_NMI,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
0.1,DP-GRAMS-C,0.2744780745892422,0.24700762847068514,0.7976852890387206,0.11722075266136849,0.10029105603083158,0.5547461493305225,0.018615229924519857,0.003340774751609995
0.1,DP-KMeans,0.23973556569804186,0.22007134216126004,1.4076800309961963,0.15702318141094213,0.13454418633820048,0.9950405568731454,0.0038849353790283204,5.4527482782568705e-05
0.2,DP-GRAMS-C,0.31546583354608726,0.26309485024902096,0.3518850654981139,0.077784908889352,0.07681207744396808,0.27398427035094347,0.017679524421691895,0.0002864723179825279
0.2,DP-KMeans,0.22048324954702817,0.20267774833642704,0.9231079658626177,0.12732859044418895,0.1303704045232195,0.5463340710533954,0.003818027178446452,3.928516562605111e-05
0.5,DP-GRAMS-C,0.3262226332570689,0.2541980447527648,0.17364352018066256,0.041376159576372355,0.034264008218302625,0.07380182362786114,0.017615532875061034,4.4035112343354015e-05
0.5,DP-KMeans,0.27401125481952593,0.2238619850204135,0.30149208613174844,0.08395935419529715,0.08040891414962502,0.23925166454713975,0.0037754217783610025,5.428304418101028e-05
1.0,DP-GRAMS-C,0.32889497705131654,0.2549344534693032,0.15220755184642887,0.02092185512822126,0.017484315628107972,0.03901804855689509,0.01761908531188965,6.688924119799248e-05
1.0,DP-KMeans,0.2584793267737992,0.19884554796963186,0.16140360392956438,0.03564126646709397,0.028687502009894145,0.11296432574006168,0.005185707410176595,8.211061774873466e-05
2.0,DP-GRAMS-C,0.3294177209675539,0.2545771181921394,0.14343504716467428,0.01446984883879703,0.012253829470073814,0.029428159644876953,0.01850936412811279,0.0009107952278358436
2.0,DP-KMeans,0.2627213506556289,0.20634419596638545,0.23017793085491106,0.04540852804773674,0.04157192314059535,0.16246386131761587,0.009786009788513184,0.00039066593204173123
