n_samples,Eps_modes,Algorithm,ARI,Std_ARI,NMI,Std_NMI,MSE,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
700,0.1,DP-GRAMS-C,0.0045223892640996405,0.02022473963048409,0.0034624205534678682,0.015484415448493197,1923.976675342735,1727.5194471549767,0.01298433542251587,0.005831248976120783
700,0.1,DP-KMeans,0.14666994350468515,0.1420372269592663,0.1491395363240044,0.12733211879873085,2.2442871817708934,1.4664594106972102,0.003761780261993408,0.0002442118543527046
700,0.2,DP-GRAMS-C,0.010848847588640539,0.03359666854419735,0.015793478740494964,0.0545179574869668,469.49798631775656,280.2626046619024,0.01151198148727417,5.15287220752523e-05
700,0.2,DP-KMeans,0.2065647597238741,0.1267789793958049,0.21370484139317716,0.11813638334679298,1.5810916793818248,0.9025253233670161,0.003698253631591797,5.315957160027176e-05
700,0.5,DP-GRAMS-C,0.07519813433835174,0.10009280314692766,0.11680901116678369,0.12645464624249997,8.955088428574129,7.326348296390702,0.011509668827056885,3.315525288231297e-05
700,0.5,DP-KMeans,0.21651193362989268,0.0924996411316545,0.20087399069382555,0.08836753839271413,0.866769301096468,0.7805875171854941,0.0037035584449768067,0.00013334772712378249
700,1.0,DP-GRAMS-C,0.19304880258522414,0.13635623646806563,0.2311067592276595,0.12875136435108858,2.6108291859286092,2.366154594597231,0.0115264892578125,7.119698925207988e-05
700,1.0,DP-KMeans,0.2401215656200831,0.04058025998079982,0.19037695644502928,0.043029797454516246,0.20649224817331016,0.12227961682268848,0.0035585761070251465,3.4637211933648644e-05
700,5.0,DP-GRAMS-C,0.27008217813089724,0.0964662707183001,0.21885149337243948,0.08060445666288363,0.3677162607389921,0.27693489883049544,0.011486363410949708,4.077028148884338e-05
700,5.0,DP-KMeans,0.2516646510251256,0.036836722715199895,0.19419264846690978,0.030585595265195064,0.13848396854479122,0.08307704235437656,0.01036897897720337,5.061124120910733e-05
1000,0.1,DP-GRAMS-C,0.014570327067552503,0.04558177880945823,0.023239659557654474,0.07202225089314418,906.6245750630338,778.8556093900273,0.01753329038619995,7.726800703300611e-05
1000,0.1,DP-KMeans,0.16818206756355597,0.14511189238272895,0.17090055765557452,0.1352736573605406,1.8258626733673857,0.7412405306991915,0.003819894790649414,6.667350599085382e-05
1000,0.2,DP-GRAMS-C,0.045026484403032536,0.11228353176840589,0.057664537105746996,0.10735399390329645,208.30641089985335,173.25524297344506,0.017594945430755616,3.994328444435658e-05
1000,0.2,DP-KMeans,0.2689130504028491,0.09546185947760716,0.23667777428177555,0.09212272721733482,0.9868051664875939,0.7573228039354739,0.003755664825439453,4.340578939213241e-05
1000,0.5,DP-GRAMS-C,0.1713327300612721,0.10246919384631467,0.1868454642795956,0.10053102178819369,4.306371692071815,3.5339903386635023,0.017569494247436524,6.454393958777588e-05
1000,0.5,DP-KMeans,0.24388352620800124,0.06324441182765606,0.20137716464957062,0.06099184804098318,0.40618291039541193,0.32836061532044397,0.003726184368133545,4.506936836866218e-05
1000,1.0,DP-GRAMS-C,0.2181416969523537,0.14659715679025012,0.20656073626656468,0.12076394970324324,1.3632091597662024,1.1352198124042816,0.017492508888244628,5.256552157451689e-05
1000,1.0,DP-KMeans,0.23690685029536868,0.04888550317408688,0.1896919152121202,0.04958520652187884,0.26186994975317257,0.2326515636938811,0.00514148473739624,0.00019868228857972464
1000,5.0,DP-GRAMS-C,0.3199479388533067,0.06671219612574689,0.25687074635393853,0.05681265869717379,0.2563393730022735,0.15048793575579164,0.01751093864440918,3.9212473401910287e-05
1000,5.0,DP-KMeans,0.23400087372904962,0.026885934557357414,0.17754776716425202,0.02122672057007022,0.10842891598866825,0.07638551510294199,0.010681676864624023,7.212781008440338e-05
2000,0.1,DP-GRAMS-C,0.042815797568955594,0.1381860875968441,0.04057023745700683,0.12578198039468316,341.80176778073695,208.89606663482377,0.05027719736099243,0.0011601491518544932
2000,0.1,DP-KMeans,0.22556840167571313,0.1037536763316054,0.21646729433477147,0.09752038024437071,0.9968875651245577,0.7002966030715284,0.004284417629241944,0.0001568306786878314
2000,0.2,DP-GRAMS-C,0.03280117679807221,0.06237210430584104,0.06433104261650242,0.09208345672433386,51.56908325746582,67.53385921933042,0.05157175064086914,0.0013090055911078955
2000,0.2,DP-KMeans,0.28520617041380675,0.07197588102963773,0.24060188128750024,0.0657447356882223,0.5048868386954085,0.4365696138174504,0.004178082942962647,6.200800123382961e-05
2000,0.5,DP-GRAMS-C,0.1341847564401472,0.09819791911860856,0.16704999083010064,0.11335278240299304,2.478862376807366,1.6252655505531697,0.050811803340911864,6.941984510407231e-05
2000,0.5,DP-KMeans,0.2686404493773512,0.050848476871693256,0.21094994943033524,0.04190696312170369,0.24786474541128528,0.2065873910617424,0.005740833282470703,4.9312687159644146e-05
2000,1.0,DP-GRAMS-C,0.2614473239010191,0.10634840814056525,0.21342119311401858,0.08786934664693478,0.4887420318052563,0.30220191085724457,0.05102468729019165,0.0005244463171456609
2000,1.0,DP-KMeans,0.2866434552693658,0.04703742239059351,0.22700038700890546,0.042111374086123324,0.22656924250561739,0.230930020021056,0.010596716403961181,8.124031812833843e-05
2000,5.0,DP-GRAMS-C,0.33106123115811037,0.027703793657155903,0.2572593535242394,0.02224663917026036,0.11842400929300452,0.06853941816129479,0.050813353061676024,8.410791394764138e-05
2000,5.0,DP-KMeans,0.2657256378862646,0.012928937371126378,0.20177716974422646,0.010277847298585038,0.07079926100287644,0.023777692154017684,0.012004148960113526,0.00010818199833372618
5000,0.1,DP-GRAMS-C,0.0724548724994257,0.10624709377153879,0.09936475726885817,0.12255284393899804,42.729094161549085,78.86864277285672,0.21615070104599,0.0005184149112516143
5000,0.1,DP-KMeans,0.2757221024857018,0.09072038917683248,0.24460265768301612,0.08810071006005712,0.568727034919448,0.39730641963452656,0.005253362655639649,3.934371196800754e-05
5000,0.2,DP-GRAMS-C,0.23479071680823088,0.14393442023822456,0.23047690990474584,0.11213216605694894,1.7354399450407048,1.4406367088854135,0.2159656286239624,0.00032316867365968417
5000,0.2,DP-KMeans,0.27170561987454395,0.056355849772282786,0.21651693806681044,0.05584052367012219,0.2104713446454109,0.15563481579273294,0.0073123335838317875,2.8819364969358554e-05
5000,0.5,DP-GRAMS-C,0.25523866523422456,0.09078576473624836,0.21978934112927742,0.08118060040595942,0.5960336899143015,0.3696608360535257,0.2161116600036621,0.0002445240900229356
5000,0.5,DP-KMeans,0.259789661401957,0.06520018436227404,0.2058127877214003,0.06664488663649047,0.2549831868235039,0.17603755611809216,0.015603220462799073,8.41578045344692e-05
5000,1.0,DP-GRAMS-C,0.3416826922543269,0.0646851251568049,0.26971307383544796,0.05222632144000966,0.16395802337103826,0.14257425770001877,0.2159590721130371,0.0003552398088541084
5000,1.0,DP-KMeans,0.25853956061725414,0.02556491820748538,0.1968766023537948,0.020255625326141592,0.11183806913378473,0.08322745389657046,0.015386176109313966,6.413803098860422e-05
5000,5.0,DP-GRAMS-C,0.34575030972077214,0.02227341912698461,0.2681419587143704,0.01617748291967962,0.06271561445880458,0.036771151269106184,0.2159959554672241,0.0003061632492122485
5000,5.0,DP-KMeans,0.26300060221996097,0.004720676703490969,0.19928171377433057,0.0037914555055348254,0.06668285188793197,0.009170515426513226,0.015139663219451904,9.037112900383864e-05
