Algorithm,ARI,NMI,MSE,Runtime(s)
MS Clustering,0.30400748915238757,0.23269803383534812,0.04651948762348273,0.01943492889404297
DP-GRAMS-C,0.33341707277168015,0.2568302967016279,0.12525158643266499,0.017846107482910156
KMeans,0.25125465205820463,0.19037179472767307,0.06869018567675067,0.028213977813720703
DP-KMeans,0.2887455923135671,0.2276052195685495,0.1688171278135871,0.00613093376159668
