Algorithm,ARI,NMI,MSE,Runtime(s)
MS Clustering,0.28659752541864053,0.22693815135376663,0.11830921101224748,0.01993107795715332
DP-GRAMS-C,0.38627054331195937,0.30144157635572927,0.6320925610859313,0.025783061981201172
KMeans,0.24924893029320255,0.1888997473047819,0.0740362650437292,0.03550100326538086
DP-KMeans,0.26968411205436116,0.21229440164250374,0.25959123626800956,0.006932973861694336
