n_samples,epsilon,run_idx,seed,dp_mse,dp_runtime_s,timestamp
300,0.1,0,300010,0.18511228972479035,0.04901724960654974,2025-12-04 18:12:50
300,0.1,1,300011,0.11364568199083298,0.057842208072543144,2025-12-04 18:12:50
300,0.1,2,300012,0.3285588102418743,0.047851167153567076,2025-12-04 18:12:50
300,0.1,3,300013,0.14507385801225767,0.04589337483048439,2025-12-04 18:12:50
300,0.1,4,300014,0.42577533239466997,0.05885912477970123,2025-12-04 18:12:50
300,0.1,5,300015,0.14415956369437954,0.058614291716367006,2025-12-04 18:12:50
300,0.1,6,300016,0.18854313372726642,0.05023158295080066,2025-12-04 18:12:50
300,0.1,8,300018,0.12834340215167528,0.04560037516057491,2025-12-04 18:12:50
300,0.1,7,300017,0.13480631930155976,0.051045999862253666,2025-12-04 18:12:50
300,0.1,10,300020,0.12003236421637846,0.049997332971543074,2025-12-04 18:12:50
300,0.1,11,300021,0.5625596940525209,0.04768391698598862,2025-12-04 18:12:50
300,0.1,9,300019,0.21306473021894837,0.056744332890957594,2025-12-04 18:12:50
300,0.1,12,300022,0.0932996398352633,0.05109533295035362,2025-12-04 18:12:50
300,0.1,14,300024,0.13870156713704282,0.04441816685721278,2025-12-04 18:12:50
300,0.1,13,300023,0.12644497620512893,0.05266733327880502,2025-12-04 18:12:50
300,0.1,16,300026,0.1210469077357224,0.037300709169358015,2025-12-04 18:12:50
300,0.1,15,300025,0.33217501780167635,0.04163829190656543,2025-12-04 18:12:50
300,0.1,18,300028,0.33900904174725366,0.036325833294540644,2025-12-04 18:12:50
300,0.1,19,300029,0.1555192630774626,0.03887549974024296,2025-12-04 18:12:50
300,0.1,17,300027,0.4655265502339978,0.04146129172295332,2025-12-04 18:12:50
300,0.2,1,300021,0.13768346552935531,0.042501416988670826,2025-12-04 18:12:52
300,0.2,0,300020,0.05419181013225884,0.056960917077958584,2025-12-04 18:12:52
300,0.2,3,300023,0.050655836891852705,0.04228191636502743,2025-12-04 18:12:52
300,0.2,2,300022,0.047874307660117646,0.05586495855823159,2025-12-04 18:12:52
300,0.2,4,300024,0.026627558739710143,0.05008687498047948,2025-12-04 18:12:52
300,0.2,5,300025,0.047137915928556554,0.05450225016102195,2025-12-04 18:12:52
300,0.2,6,300026,0.04775731256486812,0.05943995900452137,2025-12-04 18:12:52
300,0.2,8,300028,0.0525947216739376,0.04590437514707446,2025-12-04 18:12:52
300,0.2,9,300029,0.036448387401611826,0.04813562519848347,2025-12-04 18:12:52
300,0.2,7,300027,0.04705627176920474,0.058598500210791826,2025-12-04 18:12:52
300,0.2,10,300030,0.030077327513553413,0.053365916945040226,2025-12-04 18:12:52
300,0.2,11,300031,0.09234486692614492,0.046142250299453735,2025-12-04 18:12:53
300,0.2,13,300033,0.09322279742374437,0.05061770835891366,2025-12-04 18:12:53
300,0.2,17,300037,0.047763448477480555,0.03631141688674688,2025-12-04 18:12:53
300,0.2,12,300032,0.04946202393897773,0.06204779166728258,2025-12-04 18:12:53
300,0.2,16,300036,0.06884479561829968,0.04669741727411747,2025-12-04 18:12:53
300,0.2,15,300035,0.03294396972693751,0.05931912502273917,2025-12-04 18:12:53
300,0.2,18,300038,0.02825436924653836,0.03921516705304384,2025-12-04 18:12:53
300,0.2,14,300034,0.020101322400949265,0.06342391669750214,2025-12-04 18:12:53
300,0.2,19,300039,0.034667777360062095,0.038717334158718586,2025-12-04 18:12:53
300,0.5,0,300050,0.00671186567576223,0.05185041669756174,2025-12-04 18:12:55
300,0.5,1,300051,0.011950965147238597,0.05988754238933325,2025-12-04 18:12:55
300,0.5,3,300053,0.004847106565200167,0.038129332941025496,2025-12-04 18:12:55
300,0.5,2,300052,0.01430685400471115,0.04802829213440418,2025-12-04 18:12:55
300,0.5,5,300055,0.008042504499859247,0.0350622502155602,2025-12-04 18:12:55
300,0.5,4,300054,0.0057618939604113005,0.04853312484920025,2025-12-04 18:12:55
300,0.5,6,300056,0.006656007790744565,0.05356354173272848,2025-12-04 18:12:55
300,0.5,8,300058,0.007173296320402717,0.0468025840818882,2025-12-04 18:12:55
300,0.5,7,300057,0.010612176603752375,0.0554992500692606,2025-12-04 18:12:55
300,0.5,9,300059,0.002932691971140636,0.051420832984149456,2025-12-04 18:12:55
300,0.5,10,300060,0.00577716756336937,0.04159095836803317,2025-12-04 18:12:55
300,0.5,11,300061,0.004622750894065032,0.03795416606590152,2025-12-04 18:12:55
300,0.5,12,300062,0.004744740083547417,0.05019095819443464,2025-12-04 18:12:55
300,0.5,13,300063,0.011960631345152467,0.04239404108375311,2025-12-04 18:12:55
300,0.5,15,300065,0.009152826757920153,0.03843383304774761,2025-12-04 18:12:55
300,0.5,16,300066,0.00818667211135145,0.04224275005981326,2025-12-04 18:12:55
