n_samples,epsilon,DP_mse_mean,DP_mse_se,PMS_mse,DP_runtime_mean,DP_runtime_std
300,0.1,0.2230699071750351,0.03053321832192858,0.0,0.04877371690236032,0.00847998203085045
300,0.2,0.052285514346208074,0.006214666953163623,0.0,0.04953892088960856,0.006793145193444155
300,0.5,0.008237466888231005,0.0007651042779960248,0.0,0.045337043888866904,0.00598735940754237
300,1.0,0.003123211158953537,0.00033665222263139867,0.0,0.04754288541153073,0.009574030267696798
600,0.1,0.09245081772109844,0.012487920031344883,0.0,0.1235548060387373,0.019265225061189363
600,0.2,0.017153920339123364,0.0015241430152085952,0.0,0.13656799166928976,0.0226342855666884
600,0.5,0.003930006278114551,0.0003269482726637102,0.0,0.1216645604930818,0.024189455628487
600,1.0,0.0017173840175418846,0.0001753329256449265,0.0,0.1305614228826016,0.016452108328507454
1200,0.1,0.03369440315614815,0.004992482399152512,0.0,0.338716693664901,0.0648388331406702
1200,0.2,0.00787501123133443,0.000704601551351534,0.0,0.34667458753101527,0.0702198185533522
1200,0.5,0.001815014954247222,0.0001256294071571239,0.0,0.32771031237207354,0.054867855176779515
1200,1.0,0.0010835331890037942,0.00010792359137716893,0.0,0.4846032145433128,0.10923566555368809
2100,0.1,0.01218973352021085,0.001495327233363759,0.0,0.8421975540462882,0.17840309828422096
2100,0.2,0.003416919602961159,0.00032507449213189395,0.0,1.095381122897379,0.23559074959268936
2100,0.5,0.0008656979544277635,5.74215602570378e-05,0.0,0.7776170353870839,0.17645746936253784
2100,1.0,0.0005791055774879842,6.437560550133336e-05,0.0,0.8837735687149688,0.24744325383359567
