n_samples,Eps_modes,Algorithm,ARI,Std_ARI,NMI,Std_NMI,MSE,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
2000,0.5,DP-KMeans,0.6815428763642062,0.029714325316549682,0.796399173697334,0.04077592386378911,0.6795393172201347,0.4702674457973473,0.008008432388305665,0.0002143818209958521
2000,1.0,DP-GRAMS-C,0.7064773033143611,0.022756209065160887,0.7766587060259258,0.010306588538371114,0.056025676890896645,0.18547754080642914,0.05158220529556275,0.0011035980748912363
2000,1.0,DP-KMeans,0.6819167376318152,0.06792513679826845,0.7876500704517841,0.06142782905898124,0.5179709973771152,0.6168187118209029,0.007951962947845458,0.0003506108966102762
2000,5.0,DP-GRAMS-C,0.7021669181122798,0.029986605692655287,0.7767835698788108,0.01295437632179257,0.10228275364318269,0.28680093230826,0.052109718322753906,0.0015360394229770003
2000,5.0,DP-KMeans,0.6865892700023473,0.027225731190853437,0.7964265718590046,0.02523304310663372,0.5117175405943234,0.5428490377255702,0.023666119575500487,0.00047613098469251493
5000,0.1,DP-GRAMS-C,0.9975088268061703,0.004089504365376171,0.9960233816308561,0.005212631184286372,0.030869953426547365,0.011769522991577139,0.23944917917251587,0.016801527025149324
5000,0.1,DP-KMeans,0.7304819789070472,0.12309649240610145,0.8311938217517658,0.07719036082653764,1.1020264951355394,0.47991812415086677,0.011776602268218994,0.0023373202406910434
5000,0.2,DP-GRAMS-C,0.9993600000597948,0.00032798435660495934,0.9986261369806337,0.0006197285078662398,0.010481046224691658,0.004978411790980581,0.23438117504119874,0.018055047261981247
5000,0.2,DP-KMeans,0.8102070889678477,0.1614843295625801,0.8783775801871325,0.0989992503718472,0.5198527596865338,0.4226766808605889,0.01010366678237915,0.00028488265497444824
5000,0.5,DP-GRAMS-C,0.9994665599288661,0.0,0.9988269592056513,0.0,0.0019591327746611266,0.0009497299345227787,0.2231513500213623,0.004281510201645305
5000,0.5,DP-KMeans,0.9085448261239899,0.13284813101058765,0.9386816603669288,0.08342355857921928,0.28096978145582463,0.42801526541045315,0.014175665378570557,0.0006794389748864003
5000,1.0,DP-GRAMS-C,0.9994665599288661,0.0,0.9988269592056513,0.0,0.0005486721672178038,0.0002744524003944551,0.22331614494323732,0.005369756124902408
5000,1.0,DP-KMeans,0.9332972456235025,0.10796784554829635,0.9525190103495103,0.06759732467588109,0.2388397587173921,0.36741805418628753,0.025507616996765136,0.0002849721347722474
5000,5.0,DP-GRAMS-C,0.9994665599288661,0.0,0.9988269592056513,0.0,0.00014167641573127797,7.978624036805342e-05,0.22268989086151122,0.0036824504851503273
5000,5.0,DP-KMeans,0.9457726939536393,0.13119597510530379,0.9693268944360446,0.07206712171405259,0.13554763239550227,0.325214288551685,0.029367244243621825,0.00024415525949911693
