Algorithm,ARI,NMI,MSE,Runtime(s)
MS Clustering,0.6566040087099354,0.7237405378987827,0.19990648149769458,0.01986098289489746
DP-GRAMS-C,0.8338808552197169,0.8318131696652125,0.034912845972248065,0.02589893341064453
KMeans,0.9028430495905373,0.8776309369522064,0.00021259787343181423,0.03802800178527832
DP-KMeans,0.635600530529093,0.7244843909239644,0.7654063016122876,0.008198261260986328
