n,epsilon,DP_MSE_mean,DP_MSE_se,MS_MSE_mean,MS_MSE_se,DP_time_mean,DP_time_se,MS_time_mean,MS_time_se
700,0.1,3.74775661516982,0.8522196542332138,0.004513602439029785,4.4141110680666546e-05,0.010801195818930864,0.00015458401109383127,0.009531152085401118,6.551974162049259e-05
700,0.2,2.04091258179792,0.21638072869705588,0.004513602439029785,4.4141110680666546e-05,0.0107443040702492,0.00016042462314846652,0.009531152085401118,6.551974162049259e-05
700,0.5,0.45190677294049797,0.049870435506127055,0.004513602439029785,4.4141110680666546e-05,0.010456883441656828,8.768127118475871e-05,0.009531152085401118,6.551974162049259e-05
700,1,0.12878039840222735,0.013612750679529398,0.004513602439029785,4.4141110680666546e-05,0.010486820852383972,0.00011151546456015905,0.009531152085401118,6.551974162049259e-05
700,5,0.02057464430918692,0.0028640916416587986,0.004513602439029785,4.4141110680666546e-05,0.010394208389334381,0.0001083086127609698,0.009531152085401118,6.551974162049259e-05
1000,0.1,2.264959181252922,0.282681023944445,0.011826903243663894,0.0001666298164614983,0.016430525039322675,0.0004277706404018001,0.01830202287528664,0.0003956761772532175
1000,0.2,1.103966913874902,0.11026857393093263,0.011826903243663894,0.0001666298164614983,0.015462070796638727,0.00017858761604735467,0.01830202287528664,0.0003956761772532175
1000,0.5,0.22439206106191664,0.02398210001570273,0.011826903243663894,0.0001666298164614983,0.015225562523119152,0.00014943761176851425,0.01830202287528664,0.0003956761772532175
1000,1,0.07573462187053251,0.006860153177516173,0.011826903243663894,0.0001666298164614983,0.016725454083643853,0.00046727527514799343,0.01830202287528664,0.0003956761772532175
1000,5,0.01633927460203643,0.0015217276722062538,0.011826903243663894,0.0001666298164614983,0.015446522878482938,0.00019950377968181622,0.01830202287528664,0.0003956761772532175
2000,0.1,1.367001765997267,0.19098139283485782,0.003303050391592605,1.516763097976196e-05,0.04142094170674682,0.0007457507014436581,0.07025503960903734,0.000262662536755835
2000,0.2,0.5313643661765695,0.05110300873402801,0.003303050391592605,1.516763097976196e-05,0.03944595414213836,0.00041268002608763494,0.07025503960903734,0.000262662536755835
2000,0.5,0.10340661418026231,0.01023401328016968,0.003303050391592605,1.516763097976196e-05,0.039334708359092474,0.00041205523544124304,0.07025503960903734,0.000262662536755835
2000,1,0.028156969951964893,0.002290664595340949,0.003303050391592605,1.516763097976196e-05,0.04063246676232666,0.0004075660557795442,0.07025503960903734,0.000262662536755835
2000,5,0.006480159918516269,0.0004992296180282781,0.003303050391592605,1.516763097976196e-05,0.03954308542888611,0.0004249105264857066,0.07025503960903734,0.000262662536755835
5000,0.1,0.4685873750712874,0.0365891511849657,0.0029229122231214824,1.6895521744933393e-05,0.14997532919514925,0.0031390537045478833,0.510446620802395,0.009463028368244383
5000,0.2,0.13759795152816873,0.014656900540460888,0.0029229122231214824,1.6895521744933393e-05,0.14498667304869742,0.001342503175684872,0.510446620802395,0.009463028368244383
5000,0.5,0.028877178527661383,0.0034437467775602585,0.0029229122231214824,1.6895521744933393e-05,0.14307671033311636,0.0009006785161167911,0.510446620802395,0.009463028368244383
5000,1,0.00911598898316208,0.0009051491805400454,0.0029229122231214824,1.6895521744933393e-05,0.14435992289800198,0.0009307137991757063,0.510446620802395,0.009463028368244383
5000,5,0.0037744068911277546,0.0003659336267300777,0.0029229122231214824,1.6895521744933393e-05,0.14636012292467057,0.0008831155835732844,0.510446620802395,0.009463028368244383
