Eps_modes,Algorithm,ARI,NMI,Silhouette,MSE,Std_ARI,Std_NMI,Std_Silhouette,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
0.1,DP-GRAMS-C,0.4084990047595092,0.5373666843958121,0.07831396162509918,45.80432321988152,0.032100030838957634,0.02017011226571575,0.002885701134800911,12.347654937776845,616.4896557807922,139.23447712367633
0.1,DP-KMeans,0.024448811557014852,0.06408565044011369,nan,1070.2112049921245,0.028332088473032774,0.05859720414957468,nan,144.572259221102,1.3961366534233093,0.2611902629703488
0.5,DP-GRAMS-C,0.4084990047595092,0.5373666843958121,0.07831396162509918,45.80432321988152,0.032100030838957634,0.02017011226571575,0.002885701134800911,12.347654937776845,612.0581500053406,121.85979798272079
0.5,DP-KMeans,0.17945529187301887,0.2993263196725349,0.0541667565703392,501.1350184926476,0.0531011185861124,0.059254474035926354,0.013191602192819118,143.6605751284106,1.9481215357780457,0.25951228532984055
1,DP-GRAMS-C,0.4084990047595092,0.5373666843958121,0.07831396162509918,45.80432321988152,0.032100030838957634,0.02017011226571575,0.002885701134800911,12.347654937776843,654.7744074344635,191.25395894089547
1,DP-KMeans,0.23738023819344387,0.36421953430496185,0.06264842301607132,264.29129967253385,0.0572840864615236,0.04734015239886833,0.012404965236783028,121.6308418889823,1.3860344529151916,0.1436465535770938
2,DP-GRAMS-C,0.4084990047595092,0.5373666843958121,0.07831396162509918,45.80432321988152,0.032100030838957634,0.02017011226571575,0.002885701134800911,12.347654937776845,567.4775158643722,122.44448696494763
2,DP-KMeans,0.25058083414892934,0.37938897932871446,0.06773313879966736,153.6066771590871,0.05412649686881774,0.04335043358695,0.009155796840786934,94.32975402077271,1.3889708161354064,0.13776159956590686
5,DP-GRAMS-C,0.4084990047595092,0.5373666843958121,0.07831396162509918,45.80432321988152,0.032100030838957634,0.02017011226571575,0.002885701134800911,12.347654937776843,614.9264333128929,149.05774937852206
5,DP-KMeans,0.2569210364480873,0.3870760891961948,0.07029197365045547,94.39157732112156,0.05021378499493836,0.03763621658269761,0.009434103034436703,40.395816242112375,1.3597019910812378,0.10447754987638534
10,DP-GRAMS-C,0.4084990047595092,0.5373666843958121,0.07831396162509918,45.80432321988152,0.032100030838957634,0.02017011226571575,0.002885701134800911,12.347654937776845,564.394850718975,117.71289676182619
10,DP-KMeans,0.25841167737944215,0.38956078253946924,0.0701223686337471,75.280486243377,0.04885890065585503,0.03604491565568121,0.009996185079216957,19.790981697269284,1.3601216554641724,0.14744902537318672
