Algorithm,Eps_modes,Run,Seed,ARI,NMI,Silhouette,MSE,Runtime_s,timestamp
DP-KMeans,0.5,7,1048,0.197974864476261,0.32382237597658786,0.051762395,284.7108181818737,1.8074429035186768,2025-11-11 12:59:41
DP-KMeans,0.5,6,1047,0.17213687872749098,0.25192462953827544,0.05648115,481.6957096631797,1.8064439296722412,2025-11-11 12:59:43
DP-KMeans,0.5,5,1046,0.21054072534313417,0.34403064514537707,0.06453265,476.09080343180875,1.6682288646697998,2025-11-11 12:59:43
DP-KMeans,0.5,3,1044,0.14017481827485048,0.2663762171787563,0.034984913,437.4311116005947,1.7558941841125488,2025-11-11 12:59:49
DP-KMeans,0.5,2,1043,0.060934801502854824,0.14517941456375255,0.066070355,768.6273202030294,1.6278860569000244,2025-11-11 12:59:57
DP-KMeans,0.5,4,1045,0.09600762188757625,0.20520157655413107,0.05059255,628.1445341166263,1.7067861557006836,2025-11-11 12:59:57
DP-KMeans,0.5,10,1051,0.19540000821781672,0.30640076167332864,0.055922467,600.0090078985552,2.2846169471740723,2025-11-11 13:01:56
DP-KMeans,0.5,8,1049,0.22706908111267263,0.3508166374779999,0.05089945,486.7325562906136,2.2399659156799316,2025-11-11 13:02:00
DP-KMeans,0.5,9,1050,0.15028387215073832,0.2712148617490369,0.061535772,429.4903307769076,2.0169332027435303,2025-11-11 13:02:03
DP-KMeans,0.5,11,1052,0.19777259519138493,0.35039955003745715,0.038004603,502.2809625322151,2.0562078952789307,2025-11-11 13:02:07
DP-KMeans,0.5,12,1053,0.18227930033198889,0.2984874724202184,0.06227061,759.2757063476035,2.285320997238159,2025-11-11 13:02:09
DP-KMeans,0.5,13,1054,0.12181734014219571,0.251158013666998,0.07123705,525.398034756439,2.165618896484375,2025-11-11 13:02:13
DP-KMeans,0.5,15,1056,0.2149350978361488,0.3286861075571046,0.06372024,585.1437334561693,2.4231021404266357,2025-11-11 13:02:14
DP-KMeans,0.5,14,1055,0.19185261986564547,0.32832457910222157,0.036177836,471.9089030355437,2.257122039794922,2025-11-11 13:02:18
DP-KMeans,0.5,16,1057,0.19628637663440768,0.3242227169359703,0.053863425,476.6694482300194,1.8165769577026367,2025-11-11 13:03:07
DP-KMeans,0.5,19,1060,0.274284474521385,0.3789494465256341,0.06770216,728.6420757461026,1.9579389095306396,2025-11-11 13:03:09
DP-KMeans,0.5,18,1059,0.16257349001743862,0.3036505768225048,0.056959834,350.5184303848363,2.0617737770080566,2025-11-11 13:03:10
DP-KMeans,0.5,17,1058,0.13324097636840995,0.27258284471924565,0.027529601,382.121736981945,1.7185790538787842,2025-11-11 13:03:13
DP-KMeans,1,5,1046,0.27491820708446185,0.38375078579858984,0.06757852,265.731978752391,1.2878191471099854,2025-11-11 13:40:16
DP-KMeans,1,1,1042,0.33502668013567144,0.4426579071794081,0.08573111,57.56883547801575,1.2160861492156982,2025-11-11 13:40:17
DP-KMeans,1,0,1041,0.3104397428166393,0.41159635468790307,0.06142595,149.49611481418918,1.078230857849121,2025-11-11 13:40:17
DP-KMeans,1,3,1044,0.3026288609486652,0.4146256486780685,0.080490485,197.1428023944306,1.2597198486328125,2025-11-11 13:40:17
DP-KMeans,1,7,1048,0.2475601497910598,0.37630584301009595,0.07847765,209.18052403236229,1.193847894668579,2025-11-11 13:40:19
DP-KMeans,1,6,1047,0.18052952946360268,0.3129425430890353,0.047096338,284.0441886877536,1.2767419815063477,2025-11-11 13:40:20
DP-KMeans,1,2,1043,0.1226263336212799,0.2497576197182893,0.07398735,615.2773831483044,1.2536392211914062,2025-11-11 13:40:22
DP-KMeans,1,4,1045,0.1361226049155442,0.2905492370403362,0.05944599,256.6633031009886,1.295403003692627,2025-11-11 13:40:23
DP-KMeans,1,10,1051,0.2021402655283147,0.3328259158449409,0.05735397,197.87422980740985,1.5230789184570312,2025-11-11 13:42:09
DP-KMeans,1,11,1052,0.2874221360574656,0.4193979607804493,0.06005844,308.53691325295097,1.476525068283081,2025-11-11 13:42:12
DP-KMeans,1,9,1050,0.22504694740328632,0.35611868747162395,0.047893073,237.41221085540596,1.359271764755249,2025-11-11 13:42:12
DP-KMeans,1,8,1049,0.24549141598566307,0.37276854127497866,0.06927971,444.5204397728654,1.5167057514190674,2025-11-11 13:42:15
DP-KMeans,1,12,1053,0.26225249539991435,0.3843035161527736,0.06722572,318.0383538669788,1.6012227535247803,2025-11-11 13:42:16
DP-KMeans,1,15,1056,0.22783437282477434,0.35669215927107845,0.06377201,233.3326992878806,1.5105950832366943,2025-11-11 13:42:17
DP-KMeans,1,13,1054,0.20281627560571416,0.342034701529063,0.0395796,255.5623199122702,1.5388059616088867,2025-11-11 13:42:17
DP-KMeans,1,14,1055,0.22752469636269784,0.3532854925280465,0.049012635,350.2776625527696,1.4995310306549072,2025-11-11 13:42:18
DP-KMeans,1,16,1057,0.23946154927528793,0.37828391658779614,0.058063366,321.9904382805885,1.5094239711761475,2025-11-11 13:43:00
DP-KMeans,1,18,1059,0.22907446883870308,0.3622652975250139,0.05168679,94.95578762250788,1.4671099185943604,2025-11-11 13:43:00
DP-KMeans,1,19,1060,0.3111117359390743,0.41896572908366486,0.07721279,172.4229838934129,1.4288098812103271,2025-11-11 13:43:01
DP-KMeans,1,17,1058,0.17757629587105758,0.32526282884808133,0.0575969,315.79682393720117,1.4281208515167236,2025-11-11 13:43:02
DP-KMeans,2,0,1041,0.32349929815088674,0.4295451031151487,0.07075152,73.68105443455217,1.2149388790130615,2025-11-11 14:16:31
DP-KMeans,2,1,1042,0.3425716778376472,0.44632903926710865,0.08588083,46.455904565745534,1.2998018264770508,2025-11-11 14:16:31
DP-KMeans,2,7,1048,0.25752697749516384,0.3931378440847897,0.08034288,123.51618060427447,1.289071798324585,2025-11-11 14:16:32
DP-KMeans,2,5,1046,0.2791229134566474,0.39563903357993785,0.06685957,225.34938051013577,1.3164691925048828,2025-11-11 14:16:32
DP-KMeans,2,3,1044,0.3187463403894611,0.4328275134220723,0.07835702,114.27543899608494,1.347048044204712,2025-11-11 14:16:33
DP-KMeans,2,4,1045,0.1911172819996544,0.3669470839794318,0.07527296,99.59412212294869,1.3232929706573486,2025-11-11 14:16:33
DP-KMeans,2,2,1043,0.12817170620462268,0.267050566962755,0.061923966,218.10855708834916,1.3206117153167725,2025-11-11 14:16:34
DP-KMeans,2,6,1047,0.20610189785395253,0.336915651672432,0.05418218,100.54851313218424,1.3235409259796143,2025-11-11 14:16:34
DP-KMeans,2,9,1050,0.22386238654095006,0.35816636850936007,0.07211013,409.2042088504928,1.5600781440734863,2025-11-11 14:18:21
DP-KMeans,2,8,1049,0.2643080434606089,0.3908998013566361,0.067262515,305.1608810303483,1.5196950435638428,2025-11-11 14:18:21
DP-KMeans,2,10,1051,0.217122766895005,0.3437113793146978,0.06166101,88.04053681145426,1.5544700622558594,2025-11-11 14:18:23
DP-KMeans,2,11,1052,0.2649307635146646,0.393452208203041,0.06083835,91.4490965379804,1.5278100967407227,2025-11-11 14:18:23
DP-KMeans,2,12,1053,0.24184432979855203,0.37478879033378387,0.06668789,252.80105064259675,1.5328800678253174,2025-11-11 14:18:23
DP-KMeans,2,15,1056,0.25532188663462985,0.37922986159988853,0.07337812,148.71830417644213,1.5439610481262207,2025-11-11 14:18:23
DP-KMeans,2,13,1054,0.24058132484552797,0.39387904428757325,0.060728516,76.18083299762436,1.5132100582122803,2025-11-11 14:18:24
DP-KMeans,2,14,1055,0.24577829848066696,0.36763511493715006,0.059696134,236.7162121556994,1.5202829837799072,2025-11-11 14:18:24
DP-KMeans,2,16,1057,0.2352915490140454,0.3614991325615317,0.06114804,178.4344821725358,1.4267678260803223,2025-11-11 14:19:06
DP-KMeans,2,18,1059,0.24120714246425914,0.37806298013633166,0.061942242,59.50254930356256,1.1487178802490234,2025-11-11 14:19:07
DP-KMeans,2,19,1060,0.34646842455468435,0.45184566082301725,0.0816056,84.14318866934902,1.1412279605865479,2025-11-11 14:19:08
DP-KMeans,2,17,1058,0.18804167338695724,0.3262174084276016,0.054033257,140.2530483793814,1.3555397987365723,2025-11-11 14:19:09
DP-KMeans,5,6,1047,0.22146553677524985,0.3610414723009486,0.058371827,73.22907497685154,1.2873709201812744,2025-11-11 14:54:18
DP-KMeans,5,5,1046,0.28126194133865856,0.3969507112952367,0.069187626,143.80227181723694,1.321282148361206,2025-11-11 14:54:18
DP-KMeans,5,0,1041,0.3225101858178083,0.4278410089798622,0.07074936,62.81392621651272,1.2088031768798828,2025-11-11 14:54:18
DP-KMeans,5,1,1042,0.34505301899002444,0.44600039506813804,0.08473123,46.572144943912534,1.2012898921966553,2025-11-11 14:54:18
DP-KMeans,5,7,1048,0.27052849518293004,0.4002228375900159,0.084350206,55.80695783523546,1.32570219039917,2025-11-11 14:54:18
DP-KMeans,5,3,1044,0.3127197929851773,0.4329477754534555,0.08361695,76.38239691826443,1.2754449844360352,2025-11-11 14:54:19
DP-KMeans,5,4,1045,0.22478733793429084,0.3911043891460472,0.07925166,77.14121444361083,1.3130879402160645,2025-11-11 14:54:20
DP-KMeans,5,2,1043,0.1493256601341227,0.3005285953248151,0.07331984,135.26188666318544,1.2537169456481934,2025-11-11 14:54:22
DP-KMeans,5,8,1049,0.2839128263685083,0.41125021053047234,0.079205595,194.16813667280823,1.3983399868011475,2025-11-11 14:56:17
DP-KMeans,5,9,1050,0.22880527328817027,0.3704532535248622,0.07032236,117.56659547609834,1.357865810394287,2025-11-11 14:56:17
DP-KMeans,5,11,1052,0.2641221137767147,0.39170340658049924,0.062943906,77.35711522684484,1.3946197032928467,2025-11-11 14:56:18
DP-KMeans,5,12,1053,0.23052534582134293,0.3708884565759398,0.06606632,105.73115116519662,1.3670799732208252,2025-11-11 14:56:19
DP-KMeans,5,13,1054,0.25207448190560994,0.4007490331910863,0.06233284,67.94286861518391,1.4725849628448486,2025-11-11 14:56:21
DP-KMeans,5,14,1055,0.25034410352580894,0.3828916419346343,0.06116414,93.356353523784,1.5754499435424805,2025-11-11 14:56:21
DP-KMeans,5,10,1051,0.2218678704149336,0.3472948518398743,0.06490286,79.76114452724433,1.3940739631652832,2025-11-11 14:56:21
DP-KMeans,5,15,1056,0.2564764710110777,0.382979130214383,0.072054,92.19526455525099,1.4729852676391602,2025-11-11 14:56:21
DP-KMeans,5,16,1057,0.23266933474550267,0.35510825114286315,0.061833452,177.01830268074204,1.5589690208435059,2025-11-11 14:57:02
DP-KMeans,5,18,1059,0.24274828468574763,0.38130253109412376,0.05813505,56.295001059612424,1.271704912185669,2025-11-11 14:57:03
DP-KMeans,5,19,1060,0.35476195722577397,0.454660422534519,0.08432406,63.84023399714962,1.3112430572509766,2025-11-11 14:57:03
DP-KMeans,5,17,1058,0.19246069703429206,0.335603409602118,0.058976177,91.589505107706,1.4324250221252441,2025-11-11 14:57:04
DP-KMeans,10,1,1042,0.34505571742580715,0.44476626920971657,0.084237434,47.20095082811463,1.2673959732055664,2025-11-11 15:29:29
DP-KMeans,10,6,1047,0.2250707562376077,0.36461247506715877,0.058504615,70.02585037003438,1.2392380237579346,2025-11-11 15:29:32
DP-KMeans,10,0,1041,0.3222510540738298,0.427293488183483,0.07038772,64.33710983762975,1.2192797660827637,2025-11-11 15:29:33
DP-KMeans,10,7,1048,0.2763712258596336,0.40664500472541504,0.085165955,50.876567628632955,1.2127799987792969,2025-11-11 15:29:33
DP-KMeans,10,3,1044,0.3130747856445923,0.43317807313612067,0.0833964,75.24795888647176,1.2311480045318604,2025-11-11 15:29:33
DP-KMeans,10,5,1046,0.2811871492199192,0.3918404427552304,0.068492755,58.51895890830076,1.221782922744751,2025-11-11 15:29:33
DP-KMeans,10,4,1045,0.2365323904905095,0.39660609859449797,0.080139905,72.3339390125708,1.2684800624847412,2025-11-11 15:29:34
DP-KMeans,10,2,1043,0.15415772749440654,0.30568740744237805,0.07461216,131.34255775104455,1.2620291709899902,2025-11-11 15:29:37
DP-KMeans,10,8,1049,0.27778298619445324,0.41438104558887984,0.06972158,61.32946295057136,1.6346542835235596,2025-11-11 15:31:32
DP-KMeans,10,10,1051,0.22110543396233978,0.3469414896466031,0.06522284,79.23121549627254,1.41764497756958,2025-11-11 15:31:35
DP-KMeans,10,11,1052,0.2613604309192983,0.38794093528539375,0.062261697,78.4234040080191,1.4808809757232666,2025-11-11 15:31:35
DP-KMeans,10,9,1050,0.2384526421211806,0.3890201064681263,0.07857767,89.16846241767428,1.5538010597229004,2025-11-11 15:31:35
DP-KMeans,10,12,1053,0.22649545259204354,0.3674927737927001,0.06562,100.00198195742414,1.486361026763916,2025-11-11 15:31:36
DP-KMeans,10,13,1054,0.2528218715861255,0.4008836346931386,0.062273018,66.95228607762245,1.509551763534546,2025-11-11 15:31:36
DP-KMeans,10,14,1055,0.25252170566567833,0.3874185366437024,0.06437675,91.86510364120365,1.570044994354248,2025-11-11 15:31:36
DP-KMeans,10,15,1056,0.2587708415399297,0.385458773867651,0.072760254,83.84387223059957,1.5677902698516846,2025-11-11 15:31:36
DP-KMeans,10,16,1057,0.2358330446335564,0.36733084257483917,0.06370628,82.77636315144665,1.2826330661773682,2025-11-11 15:32:21
DP-KMeans,10,19,1060,0.35522561974811356,0.4541277734494222,0.08437713,59.10303470490254,1.226365089416504,2025-11-11 15:32:21
DP-KMeans,10,17,1058,0.19554571511445146,0.3397862432630494,0.057013262,90.08776907586707,1.2778456211090088,2025-11-11 15:32:22
DP-KMeans,10,18,1059,0.23861699706536776,0.37980423640187766,0.051599868,52.94287593313688,1.272726058959961,2025-11-11 15:32:22
