Algorithm,Eps_modes,Run,Seed,ARI,NMI,Silhouette,MSE,Runtime_s,timestamp
DP-GRAMS-C,0.1,7,48,0.45001638230941715,0.5499427942086503,0.086909294,29.95338114335168,705.7341752052307,2025-11-11 11:57:24
DP-GRAMS-C,0.1,2,43,0.37005901723640877,0.5182126562374375,0.07817825,52.60008304617897,734.5851790904999,2025-11-11 11:57:48
DP-GRAMS-C,0.1,3,44,0.41326515645020034,0.5494382206386186,0.07983597,41.7888893184621,711.2001209259033,2025-11-11 11:58:02
DP-GRAMS-C,0.1,0,41,0.4231307942069039,0.5452450795734997,0.07566819,40.50076574545024,714.8097558021545,2025-11-11 11:58:05
DP-GRAMS-C,0.1,4,45,0.44072258045629453,0.5435125916708053,0.07947801,26.26867108359115,712.0357320308685,2025-11-11 11:58:16
DP-GRAMS-C,0.1,1,42,0.3995371632595625,0.5189782719211837,0.08140697,34.022170838965124,714.4453890323639,2025-11-11 11:58:16
DP-GRAMS-C,0.1,5,46,0.36786653369334876,0.50710840860119,0.07782053,46.69460717170874,714.3200218677521,2025-11-11 11:58:24
DP-GRAMS-C,0.1,6,47,0.36567771681993,0.5215768965002451,0.07566751,71.09387448172527,707.5861558914185,2025-11-11 11:58:26
DP-GRAMS-C,0.1,8,49,0.4050739874154466,0.5484089860137227,0.07637529,56.52646515028141,664.5311498641968,2025-11-11 12:10:22
DP-GRAMS-C,0.1,9,50,0.37997560714961587,0.5243185612272577,0.07772308,49.87245458805229,663.2034089565277,2025-11-11 12:11:04
DP-GRAMS-C,0.1,11,52,0.43857908210544344,0.5606832045279182,0.07648295,36.44005445432108,647.422917842865,2025-11-11 12:11:06
DP-GRAMS-C,0.1,10,51,0.4577447669452043,0.5706865802743615,0.080852665,40.69312000319962,650.5515639781952,2025-11-11 12:11:07
DP-GRAMS-C,0.1,12,53,0.44959382666904246,0.5542688058113966,0.07726501,40.586257384505124,643.9594779014587,2025-11-11 12:11:14
DP-GRAMS-C,0.1,15,56,0.43479622780999394,0.5607692634752467,0.07790821,35.60335299107791,640.4780611991882,2025-11-11 12:11:20
DP-GRAMS-C,0.1,14,55,0.3728220252656354,0.5089176166647053,0.07203953,60.49177884996959,642.5193920135498,2025-11-11 12:11:20
DP-GRAMS-C,0.1,13,54,0.3913915268130797,0.5185469987557454,0.07864686,44.52877951124979,655.9457981586456,2025-11-11 12:11:21
DP-GRAMS-C,0.1,16,57,0.37056892545078773,0.5207374562702725,0.07969183,68.72338357304845,365.87776017189026,2025-11-11 12:17:16
DP-GRAMS-C,0.1,18,59,0.4483980379671835,0.567220280000834,0.07812183,36.35705392589503,341.2222239971161,2025-11-11 12:17:33
DP-GRAMS-C,0.1,19,60,0.3898835540629127,0.5189415953581027,0.07781981,44.02214039800894,343.580228805542,2025-11-11 12:17:35
DP-GRAMS-C,0.1,17,58,0.40087718310377163,0.53981942018505,0.0783874,59.319180738587946,355.7846028804779,2025-11-11 12:17:41
DP-GRAMS-C,0.5,1,42,0.3995371632595625,0.5189782719211837,0.08140697,34.022170838965124,639.3945591449738,2025-11-11 12:36:18
