Eps_modes,Algorithm,ARI,NMI,MSE,Std_ARI,Std_NMI,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
0.25,DP-GRAMS-C,0.45164198543297707,0.5939999509349457,11133.420674727982,0.05433484400074264,0.03547517510121898,3867.732010170754,0.1054996371269226,0.007044525365200383
0.25,DP-KMeans,0.084835335005149,0.19780016046085955,2020.3947354935892,0.040314533546981265,0.055997493200143106,300.21249759174356,0.37724039554595945,0.02422744819662323
0.5,DP-GRAMS-C,0.5807111667696709,0.69655474110284,2133.8613494773604,0.04346726100953399,0.020784866239537538,759.6172530357646,0.10680629014968872,0.0007021756044533129
0.5,DP-KMeans,0.03606172382785394,0.1272274104122253,2029.7903266874637,0.03493630764526063,0.0730875934003263,389.00993355222226,0.37208751440048216,0.030290502839413615
1.0,DP-GRAMS-C,0.5869206322673766,0.7026691103732825,497.43176228534594,0.0343951022037373,0.01763671092636457,172.15834397018583,0.1067497968673706,0.000693003363978089
1.0,DP-KMeans,0.019954900501954503,0.06851920356829691,2060.2696365671363,0.03453076067466854,0.08370832652493845,304.42995469447504,0.3278874635696411,0.04053019312227942
2.5,DP-GRAMS-C,0.585819070988707,0.7034149705160415,105.85361282172565,0.04512913085548708,0.026778516470327716,39.27766005868221,0.10656453371047973,0.00035390016601194706
2.5,DP-KMeans,0.0871067564999208,0.2261440072572103,1588.1091065353678,0.05046752816096408,0.08472884290098145,261.21334213122213,0.29066606760025027,0.027591830363190264
5,DP-GRAMS-C,0.5917071398961535,0.7060222076260727,41.60106055492009,0.03672197271901295,0.024791479611222588,11.315054023706056,0.10658751726150513,0.0005158028433676163
5,DP-KMeans,0.1866571022334763,0.3548684967355882,1216.9285969401458,0.05032157705695974,0.0594950114232173,292.61165411715626,0.2982600092887878,0.021171761442573017
