Eps_modes,Algorithm,ARI,NMI,MSE,Std_ARI,Std_NMI,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
0.25,DP-GRAMS-C,0.4875695054091561,0.5897308533184453,8574.967055843521,0.1433803564211377,0.1135971545188556,5275.6136050769455,0.03458867073059082,0.005968533686830556
0.25,DP-KMeans,0.1288874334215187,0.20827797392872313,47563.90250275245,0.11973590998559261,0.140906676221816,6329.625240962767,0.15386661291122436,0.010110351881232216
0.5,DP-GRAMS-C,0.6968806640834861,0.7703844944739029,3253.4665454012056,0.12288924582621094,0.07302182589063597,2599.248536814248,0.03465219736099243,0.0043301981690609705
0.5,DP-KMeans,0.12704681914737176,0.23878014217314658,46659.3841860718,0.09867636021433587,0.12087554122197,7630.414111763521,0.14965442419052125,0.01480035904252568
1.0,DP-GRAMS-C,0.7679932336211174,0.821404633716743,2011.2792692527814,0.10957756196293415,0.055447207468972116,2141.5256990213884,0.038796520233154295,0.005593326637282561
1.0,DP-KMeans,0.07714390690924441,0.14484271935178325,43982.77894529868,0.1013496385851683,0.12923269609760435,4960.764607136799,0.14398546218872071,0.014418615328344006
2.5,DP-GRAMS-C,0.7461527387729701,0.819608130820724,1866.9998300983164,0.09952125333132081,0.04665611170975071,1656.277176038485,0.0373458981513977,0.00503984229665622
2.5,DP-KMeans,0.03669957285695567,0.08463028677662547,38779.64883782125,0.07381466233823218,0.11640952995604108,5976.279314715801,0.1277879595756531,0.015483911499174892
5.0,DP-GRAMS-C,0.7454061783279232,0.8111922015064472,2015.5941673527996,0.11653877208466078,0.06701575743433157,1839.9725164047654,0.03811942338943482,0.0047132075516960175
5.0,DP-KMeans,0.09457481963903876,0.14984172475996366,31953.764460645885,0.11809271695909913,0.1521035714158738,7323.670165387724,0.12844973802566528,0.011786293210287003
