n_samples,MS_mean,MS_se,DP_mean,DP_se,MS_time_mean,MS_time_se,DP_time_mean,DP_time_se
700,0.004513602439029785,4.4141110680666546e-05,0.13646219221989725,0.011289059847443335,0.00966510430444032,3.396934190980091e-05,0.010700100101530552,9.940163362399464e-05
1000,0.011826903243663894,0.0001666298164614983,0.07395495963150088,0.00596716787276496,0.017539752018637954,4.109366341712416e-05,0.015473831375129522,0.00012803138097458447
2000,0.003303050391592605,1.516763097976196e-05,0.02652024120034178,0.0029902214636892397,0.07070171462837607,0.0005789614160378045,0.03957528338069096,0.0002648509369167789
5000,0.0029229122231214824,1.6895521744933393e-05,0.01171153478751819,0.0012933951474325795,0.4575273501803167,0.0024535125925878114,0.14814803960034623,0.0018837949447858137
