Algorithm,Eps_modes,Run,Seed,ARI,NMI,Silhouette,MSE,Runtime_s,timestamp
DP-GRAMS-C,0.001,1,42,0.1611922781182484,0.28870553353964035,0.003205742,271.4101047929415,0.43312835693359375,2025-12-04 22:43:18
DP-GRAMS-C,0.001,0,41,0.15306788236929547,0.2679733976573643,0.018122679,267.6901380833294,0.46077418327331543,2025-12-04 22:43:18
DP-GRAMS-C,0.001,2,43,0.1430692515317041,0.23480161700795335,0.012072904,308.43265031520957,0.4966001510620117,2025-12-04 22:43:18
DP-GRAMS-C,0.001,6,47,0.13660560384674494,0.24632897429084813,-0.0048971213,250.90144661138362,0.5212240219116211,2025-12-04 22:43:18
DP-GRAMS-C,0.001,4,45,0.09227738040587509,0.21406527131585448,0.0086603435,272.0294215194954,0.5577578544616699,2025-12-04 22:43:19
DP-GRAMS-C,0.001,5,46,0.1424706348334834,0.25259679996286993,0.004516803,282.51771542980373,0.5814609527587891,2025-12-04 22:43:19
DP-GRAMS-C,0.001,7,48,0.1154983323391121,0.2589157007873596,-0.0058888244,360.3175585222336,0.5536749362945557,2025-12-04 22:43:19
DP-GRAMS-C,0.001,3,44,0.08376918317793322,0.19993331593610628,-0.0064256005,283.24634402686723,0.5849180221557617,2025-12-04 22:43:19
DP-GRAMS-C,0.001,9,50,0.166255569495388,0.2910846139797861,0.01753748,253.82575454852014,0.4802858829498291,2025-12-04 22:43:19
DP-GRAMS-C,0.001,10,51,0.1379289780888703,0.25711420421311987,-0.0034526272,270.5915177232856,0.47264885902404785,2025-12-04 22:43:19
DP-GRAMS-C,0.001,8,49,0.08429579291047745,0.24270348378376197,-0.052859955,265.25489582515246,0.584434986114502,2025-12-04 22:43:19
DP-GRAMS-C,0.001,12,53,0.07224890809413718,0.2135327806551997,-0.006451026,265.2633213500688,0.48805785179138184,2025-12-04 22:43:19
DP-GRAMS-C,0.001,14,55,0.11621796645311994,0.255594591088458,-0.031960312,282.2088204648951,0.4884531497955322,2025-12-04 22:43:19
DP-GRAMS-C,0.001,11,52,0.0947066415364703,0.17896822223333456,-0.01523264,293.41967714815394,0.5355699062347412,2025-12-04 22:43:19
DP-GRAMS-C,0.001,15,56,0.09676944501807043,0.2098592607225647,-0.053669333,279.37876070329486,0.4946269989013672,2025-12-04 22:43:19
DP-GRAMS-C,0.001,13,54,0.08678380988056693,0.25666990456670047,-0.009239667,290.72647592756545,0.5448880195617676,2025-12-04 22:43:19
DP-GRAMS-C,0.001,16,57,0.09706025145302058,0.25234420967630994,-0.043700434,309.92181921703093,0.39574694633483887,2025-12-04 22:43:19
DP-GRAMS-C,0.001,17,58,0.13626864249097678,0.28156369462353814,0.0010518578,262.72791986393435,0.37776994705200195,2025-12-04 22:43:19
DP-GRAMS-C,0.001,18,59,0.1620243135394455,0.2776211692888281,0.023630092,315.38581388326156,0.375018835067749,2025-12-04 22:43:19
DP-GRAMS-C,0.001,19,60,0.08594460253863642,0.21768856472314627,0.0078922175,263.2420475655558,0.32497668266296387,2025-12-04 22:43:20
DP-GRAMS-C,0.01,0,41,0.32109023691772864,0.4719362370861367,0.080623545,74.5410339308313,0.4535486698150635,2025-12-04 22:43:27
DP-GRAMS-C,0.01,1,42,0.32922010961011516,0.4732501272237305,0.071137875,62.27547265709755,0.4511590003967285,2025-12-04 22:43:27
DP-GRAMS-C,0.01,4,45,0.3323332121275905,0.47193298559360936,0.076309115,58.418462022603805,0.4459662437438965,2025-12-04 22:43:27
DP-GRAMS-C,0.01,3,44,0.3860273634948951,0.5284607451737362,0.08580247,65.1099898176561,0.471940279006958,2025-12-04 22:43:27
DP-GRAMS-C,0.01,2,43,0.29709103229212713,0.4539286428795346,0.071202055,73.22837132379601,0.5494210720062256,2025-12-04 22:43:27
DP-GRAMS-C,0.01,5,46,0.35946578754146696,0.48554995453072425,0.06799549,52.90498142919031,0.5096960067749023,2025-12-04 22:43:27
DP-GRAMS-C,0.01,6,47,0.3326365126137803,0.47228683340719696,0.063291304,55.9444988532987,0.5513331890106201,2025-12-04 22:43:27
DP-GRAMS-C,0.01,7,48,0.292983421558974,0.4704130482438696,0.068396896,86.14227397128496,0.6065168380737305,2025-12-04 22:43:27
