Eps_modes,Algorithm,ARI,NMI,MSE,Std_ARI,Std_NMI,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
0.001,DP-GRAMS-C,0.11822277340607883,0.24490326550263725,282.42461017609924,0.030925371324478843,0.030858982609004673,25.67964257072443,0.4497836112976074,0.07096975718433442
0.001,DP-KMeans,0.05897114342940646,0.16278463768717893,1089.4944732541692,0.028188125801855837,0.03075626081664076,99.05419421269332,0.5210569620132446,0.07291120264238733
0.01,DP-GRAMS-C,0.3304857647962372,0.47370715866426744,73.37018276364628,0.026270221687648476,0.01916398225276116,15.81574607568773,0.4444038510322571,0.059251272814370426
0.01,DP-KMeans,0.06473224127723139,0.16361141596277204,1046.121150906767,0.041044522294371666,0.054102826589267766,97.75892545909672,0.4909287095069885,0.06494050483308314
0.1,DP-GRAMS-C,0.33491234705625833,0.4816341644057113,69.04032089972677,0.03216762968763697,0.023027707131987745,17.78135222489811,0.47268880605697633,0.08117343514833342
0.1,DP-KMeans,0.06529917000964007,0.17243556623157702,1032.734787194086,0.03685956766071334,0.04399083835016536,70.2436736920856,0.5590782284736633,0.10017212909112119
1.0,DP-GRAMS-C,0.34072318823212216,0.4857282376913178,68.45128743177938,0.04099297751307594,0.028743453357425276,15.319332850274265,0.44745625257492067,0.03948192129616559
1.0,DP-KMeans,0.013353108399491543,0.039181682115898515,910.209265181659,0.026454442497215774,0.06064086957226683,88.10918671539928,0.3786590814590454,0.055451763021549645
