Algorithm,Eps_modes,Run,Seed,ARI,NMI,Silhouette,MSE,Runtime_s,timestamp
DP-KMeans,0.1,16,1057,0.11559024643608923,0.23345486871330604,0.013162682,1024.8955953847576,0.4297621250152588,2025-12-04 22:43:41
DP-KMeans,0.1,17,1058,0.07948220335203104,0.1640909178791763,0.002933548,1021.0536962437516,0.39869093894958496,2025-12-04 22:43:41
DP-KMeans,0.1,18,1059,0.033031762234475806,0.1433416212052821,-0.002377676,847.197281899892,0.37329912185668945,2025-12-04 22:43:41
DP-KMeans,0.1,19,1060,0.0029535557577847296,0.07553303556414306,-0.016924547,1040.7524993217894,0.3376150131225586,2025-12-04 22:43:41
DP-KMeans,1.0,2,1043,0.0,0.0,nan,913.7852953281696,0.3450779914855957,2025-12-04 22:43:48
DP-KMeans,1.0,4,1045,0.0,0.0,nan,946.0048946597115,0.36263608932495117,2025-12-04 22:43:49
DP-KMeans,1.0,6,1047,0.0,0.0,nan,908.6514253583842,0.36362504959106445,2025-12-04 22:43:49
DP-KMeans,1.0,5,1046,0.07454022541538934,0.15277247749249862,0.04343328,865.8992061261946,0.34310078620910645,2025-12-04 22:43:49
DP-KMeans,1.0,1,1042,-9.858588924716587e-08,0.0009304935787301771,0.19173454,887.7945494851922,0.44304728507995605,2025-12-04 22:43:49
DP-KMeans,1.0,0,1041,0.08343702718190313,0.20587895970797288,-0.0041682604,805.8863462053081,0.47481203079223633,2025-12-04 22:43:49
DP-KMeans,1.0,3,1044,0.0,0.0006662328710104311,0.1621509,974.0649088018263,0.42638111114501953,2025-12-04 22:43:49
DP-KMeans,1.0,7,1048,0.05662890210915309,0.14887149892082055,0.00094462675,771.5977554049847,0.48468995094299316,2025-12-04 22:43:49
DP-KMeans,1.0,8,1049,0.00040700895035684063,0.017326156602363096,0.15086123,936.5253471785769,0.4389960765838623,2025-12-04 22:43:49
DP-KMeans,1.0,12,1053,0.0,0.0,nan,931.6085854088573,0.400407075881958,2025-12-04 22:43:49
DP-KMeans,1.0,10,1051,0.0006999864431250702,0.030938858103106825,0.018830378,850.7753960237436,0.4014310836791992,2025-12-04 22:43:49
DP-KMeans,1.0,13,1054,0.0,0.0,nan,1026.4231745776513,0.3791780471801758,2025-12-04 22:43:49
DP-KMeans,1.0,9,1050,0.02935650326739139,0.06792060994712933,0.043778583,844.0138870576105,0.44576597213745117,2025-12-04 22:43:49
DP-KMeans,1.0,14,1055,0.0,0.0,nan,1063.7948920420106,0.3734169006347656,2025-12-04 22:43:49
DP-KMeans,1.0,11,1052,0.0,0.0,nan,1008.1853977386678,0.45966410636901855,2025-12-04 22:43:49
DP-KMeans,1.0,15,1056,0.016062855367527662,0.039652932198678006,0.0438254,904.3466311297892,0.38569188117980957,2025-12-04 22:43:49
DP-KMeans,1.0,17,1058,0.0,0.0006662328710104311,0.1710332,904.1482645391965,0.2644679546356201,2025-12-04 22:43:49
DP-KMeans,1.0,19,1060,0.0008680269594055606,0.024892015101765235,0.0024748195,1052.6808556116346,0.3006899356842041,2025-12-04 22:43:49
DP-KMeans,1.0,16,1057,0.003974570563194223,0.058496516614032275,-0.0077260016,877.7434722077826,0.3592970371246338,2025-12-04 22:43:49
DP-KMeans,1.0,18,1059,0.0010871603182737789,0.034620658308852366,0.01654727,730.2550187478889,0.37441587448120117,2025-12-04 22:43:50
DP-KMeans,0.001,0,1041,0.07455263805481899,0.18581893601088306,1166.5338829391428,0.556602954864502,2025-12-04 23:06:48
DP-KMeans,0.001,6,1047,0.1089560002613474,0.18991144258548406,1222.8086740407132,0.41150975227355957,2025-12-04 23:06:48
DP-KMeans,0.001,2,1043,0.05953524143035919,0.18520725489458228,1019.8039539646263,0.57682204246521,2025-12-04 23:06:48
DP-KMeans,0.001,1,1042,0.07320654325308813,0.2038742723442863,998.2010365622067,0.5923800468444824,2025-12-04 23:06:48
DP-KMeans,0.001,3,1044,0.01401738571156982,0.12300364688844334,1149.3261538591466,0.5532543659210205,2025-12-04 23:06:48
DP-KMeans,0.001,4,1045,0.07258899391465962,0.16236382833975893,1073.6370516111876,0.5537929534912109,2025-12-04 23:06:49
DP-KMeans,0.001,5,1046,0.07797787984319257,0.17874315755570727,1014.0078111363176,0.5591709613800049,2025-12-04 23:06:49
DP-KMeans,0.001,7,1048,0.00866066501756488,0.10364026126240793,1129.1798328814064,0.5676310062408447,2025-12-04 23:06:49
DP-KMeans,0.001,8,1049,0.07465448772748676,0.18912553665892148,858.5925359845617,0.5554108619689941,2025-12-04 23:06:49
DP-KMeans,0.001,10,1051,0.08259411443752974,0.18771790497925434,1190.735000305377,0.5386412143707275,2025-12-04 23:06:49
DP-KMeans,0.001,11,1052,0.03447549648949921,0.13232395251499898,1023.8334058744147,0.5429949760437012,2025-12-04 23:06:49
DP-KMeans,0.001,14,1055,0.06174422761205148,0.15375435308843366,1135.4030182789916,0.47612905502319336,2025-12-04 23:06:49
DP-KMeans,0.001,12,1053,0.05338168429307753,0.15017642347084553,1163.82849495338,0.5482401847839355,2025-12-04 23:06:49
DP-KMeans,0.001,13,1054,0.10228815293659904,0.19401404396965422,974.5037615495078,0.5145289897918701,2025-12-04 23:06:49
DP-KMeans,0.001,9,1050,0.07049091214437739,0.17153279322934514,941.7744658530315,0.6610169410705566,2025-12-04 23:06:49
DP-KMeans,0.001,15,1056,0.04074060961605449,0.160681128285341,1062.6624130390385,0.5601580142974854,2025-12-04 23:06:49
DP-KMeans,0.001,16,1057,0.03973775284359674,0.11799654737022945,1199.6645843215235,0.38465094566345215,2025-12-04 23:06:49
DP-KMeans,0.001,19,1060,0.005987324443749456,0.11255958191710187,1170.3907659337706,0.4098479747772217,2025-12-04 23:06:49
DP-KMeans,0.001,17,1058,0.06803844409404293,0.19570668002051442,1118.053594451405,0.4233510494232178,2025-12-04 23:06:49
DP-KMeans,0.001,18,1059,0.055794314463463945,0.1575410083573859,1176.949027543631,0.43500494956970215,2025-12-04 23:06:49
DP-KMeans,0.01,0,1041,0.09795862014715873,0.19845225571731012,1068.3348821168988,0.4628889560699463,2025-12-04 23:06:56
DP-KMeans,0.01,6,1047,0.014396336348353998,0.10107867136524117,840.0305136414054,0.43016719818115234,2025-12-04 23:06:57
DP-KMeans,0.01,2,1043,0.057446984283339456,0.17193673397381218,1109.8003898177983,0.5152177810668945,2025-12-04 23:06:57
DP-KMeans,0.01,1,1042,0.07153700121042712,0.17318440554394332,983.3155097696014,0.5304508209228516,2025-12-04 23:06:57
DP-KMeans,0.01,4,1045,0.06879422251698468,0.18632461352881258,1091.8917372012895,0.49888086318969727,2025-12-04 23:06:57
DP-KMeans,0.01,7,1048,0.08219253050590129,0.1893965209495671,1217.292861165772,0.4907381534576416,2025-12-04 23:06:57
DP-KMeans,0.01,3,1044,0.08118010623295548,0.16181016192249967,912.0452010953608,0.5821118354797363,2025-12-04 23:06:57
DP-KMeans,0.01,5,1046,0.006481727682132222,0.09282531402764123,970.2513141273146,0.5524258613586426,2025-12-04 23:06:57
DP-KMeans,0.01,8,1049,0.09048194174489184,0.19943064610571445,1140.1341659241452,0.5359160900115967,2025-12-04 23:06:57
DP-KMeans,0.01,11,1052,0.032134640731759784,0.12130568820992967,980.2451488373317,0.44530296325683594,2025-12-04 23:06:57
DP-KMeans,0.01,12,1053,0.03103950995431586,0.12027087598337773,1134.381276372318,0.49548792839050293,2025-12-04 23:06:57
DP-KMeans,0.01,10,1051,0.15805555264396248,0.27141717788103775,1029.8254438148938,0.5187819004058838,2025-12-04 23:06:57
DP-KMeans,0.01,13,1054,0.00982250212447524,0.09329488987955369,1031.8411732003087,0.49239301681518555,2025-12-04 23:06:57
DP-KMeans,0.01,14,1055,0.05676699903153189,0.14880455301650916,1007.7089010957891,0.5103268623352051,2025-12-04 23:06:57
DP-KMeans,0.01,9,1050,0.0009997503773882387,0.042473822503976896,873.2887058197173,0.6267948150634766,2025-12-04 23:06:57
DP-KMeans,0.01,15,1056,0.07782118351686276,0.19256217930281788,1137.4148398473894,0.5408220291137695,2025-12-04 23:06:57
DP-KMeans,0.01,16,1057,0.08650577255111076,0.19457772606007795,1079.7309095537855,0.4046158790588379,2025-12-04 23:06:57
DP-KMeans,0.01,17,1058,0.13040491151567937,0.22932229975800952,1067.5571316374392,0.3986351490020752,2025-12-04 23:06:57
DP-KMeans,0.01,19,1060,0.0869748875674733,0.1942143214004812,1104.2823948502282,0.3869321346282959,2025-12-04 23:06:57
DP-KMeans,0.01,18,1059,0.05364964485792323,0.18954546212512763,1143.0505182465565,0.39968395233154297,2025-12-04 23:06:57
DP-KMeans,0.1,0,1041,0.09876074707035057,0.18632079701775828,1110.663688941418,0.7281007766723633,2025-12-04 23:07:06
DP-KMeans,0.1,3,1044,0.08083766344583619,0.19058037457266516,1008.0500376560589,0.656501054763794,2025-12-04 23:07:06
DP-KMeans,0.1,2,1043,0.08432037097918225,0.20950786502014912,1015.6316304632928,0.6845808029174805,2025-12-04 23:07:06
DP-KMeans,0.1,1,1042,0.06305864656961528,0.17198805519209323,969.9258129120077,0.7178318500518799,2025-12-04 23:07:06
DP-KMeans,0.1,5,1046,0.04054770144017424,0.13175561263981658,918.9738137469727,0.5761210918426514,2025-12-04 23:07:06
DP-KMeans,0.1,4,1045,0.03521223287546767,0.14343372493240267,1083.6086921817985,0.6635768413543701,2025-12-04 23:07:06
