n_samples,epsilon,run_idx,seed,dp_mse,dp_runtime_s,timestamp
300,0.5,1,300051,0.01424241875605588,0.2930794999701902,2026-01-26 23:36:07
300,0.5,2,300052,0.01679632847686878,0.3312187499832362,2026-01-26 23:36:07
300,0.5,3,300053,0.0057622303939985076,0.3540436250041239,2026-01-26 23:36:07
300,0.5,5,300055,0.00941998678829215,0.2681316670496017,2026-01-26 23:36:07
300,0.5,8,300058,0.009190893247976567,0.09188795898808166,2026-01-26 23:36:07
300,0.5,7,300057,0.013046741209634515,0.13505433301907033,2026-01-26 23:36:07
300,0.5,6,300056,0.007943970989546306,0.16082983295200393,2026-01-26 23:36:07
300,0.5,12,300062,0.00524004082204084,0.10724674997618422,2026-01-26 23:36:07
300,0.5,9,300059,0.0033946246687802098,0.1736943750292994,2026-01-26 23:36:07
300,0.5,10,300060,0.007014957366434332,0.16137495799921453,2026-01-26 23:36:07
300,0.5,11,300061,0.00527565507144661,0.15579787496244535,2026-01-26 23:36:07
300,0.5,13,300063,0.014894957261825895,0.12082333298167214,2026-01-26 23:36:07
300,0.5,14,300064,0.007638850469898575,0.1375061249709688,2026-01-26 23:36:07
300,0.5,16,300066,0.009360069517353336,0.10962283401750028,2026-01-26 23:36:07
300,0.5,15,300065,0.010779899039305055,0.12104383303085342,2026-01-26 23:36:07
300,0.5,17,300067,0.01820661319971323,0.08734954195097089,2026-01-26 23:36:08
300,0.5,18,300068,0.007933991645621552,0.09684883302543312,2026-01-26 23:36:08
300,0.5,19,300069,0.015577760420143777,0.10564416699344292,2026-01-26 23:36:08
300,1.0,2,300102,0.0025765359031760344,0.12294366699643433,2026-01-26 23:36:12
300,1.0,0,300100,0.0023898448834625686,0.15834095899481326,2026-01-26 23:36:12
300,1.0,1,300101,0.0029427939368353224,0.14352616696851328,2026-01-26 23:36:12
300,1.0,3,300103,0.001788413638714119,0.12421620800159872,2026-01-26 23:36:12
300,1.0,5,300105,0.0041895865636355,0.1299439170397818,2026-01-26 23:36:12
300,1.0,4,300104,0.002967189437424066,0.1532202920061536,2026-01-26 23:36:12
300,1.0,7,300107,0.0029888335879707946,0.12025412498041987,2026-01-26 23:36:12
300,1.0,6,300106,0.004769652046647567,0.13065866701072082,2026-01-26 23:36:12
300,1.0,8,300108,0.004645626632280321,0.14867695898283273,2026-01-26 23:36:12
300,1.0,11,300111,0.004888898236404304,0.060163999965880066,2026-01-26 23:36:12
300,1.0,10,300110,0.009091363803830247,0.10513416700996459,2026-01-26 23:36:12
300,1.0,9,300109,0.004286275506304231,0.12511829199502245,2026-01-26 23:36:12
300,1.0,12,300112,0.002606548450201512,0.07424754201201722,2026-01-26 23:36:12
300,1.0,13,300113,0.0038358397379534624,0.0964655420393683,2026-01-26 23:36:12
300,1.0,19,300119,0.0018495510130719242,0.03897495800629258,2026-01-26 23:36:12
300,1.0,14,300114,0.0020078430299680008,0.10624370799632743,2026-01-26 23:36:12
300,1.0,15,300115,0.0028023447176135346,0.10080187499988824,2026-01-26 23:36:12
300,1.0,16,300116,0.0020506013212503752,0.09100966702681035,2026-01-26 23:36:12
300,1.0,17,300117,0.003835896313596517,0.0833837499958463,2026-01-26 23:36:12
300,1.0,18,300118,0.002169789653195755,0.11493183299899101,2026-01-26 23:36:12
600,0.1,0,600010,0.08753243364079019,0.2255545830121264,2026-01-26 23:36:17
600,0.1,1,600011,0.321349210275789,0.2469420830020681,2026-01-26 23:36:17
600,0.1,2,600012,0.13273607583882224,0.27367804205277935,2026-01-26 23:36:17
600,0.1,3,600013,0.04440957141212394,0.2775530419894494,2026-01-26 23:36:17
600,0.1,4,600014,0.1204956629044342,0.272239041980356,2026-01-26 23:36:17
600,0.1,7,600017,0.06118615244853418,0.27526654198300093,2026-01-26 23:36:17
600,0.1,5,600015,0.0575024287842335,0.2905389160150662,2026-01-26 23:36:18
600,0.1,8,600018,0.15853433559787242,0.27043095795670524,2026-01-26 23:36:18
600,0.1,9,600019,0.18095400937285133,0.25671191699802876,2026-01-26 23:36:18
600,0.1,6,600016,0.11437367676064293,0.3131552920094691,2026-01-26 23:36:18
600,0.1,11,600021,0.04802767446621701,0.2783591659972444,2026-01-26 23:36:18
600,0.1,10,600020,0.13958432688723557,0.29779954202240333,2026-01-26 23:36:18
600,0.1,12,600022,0.06965386470830476,0.27669916598824784,2026-01-26 23:36:18
600,0.1,13,600023,0.049126742558037444,0.2884445830131881,2026-01-26 23:36:18
600,0.1,16,600026,0.17644776772326945,0.2740897909970954,2026-01-26 23:36:18
600,0.1,14,600024,0.06749232390516151,0.3013254579855129,2026-01-26 23:36:18
600,0.1,17,600027,0.19888556440735047,0.27906675002304837,2026-01-26 23:36:18
600,0.1,15,600025,0.1112194118485549,0.3119132500141859,2026-01-26 23:36:18
600,0.1,18,600028,0.05846875165246631,0.2108622079831548,2026-01-26 23:36:18
600,0.1,19,600029,0.17643238980386755,0.19877966598141938,2026-01-26 23:36:18
600,0.2,0,600020,0.01851229600561081,0.44222437497228384,2026-01-26 23:36:23
600,0.2,2,600022,0.011287790821871016,0.41060970904072747,2026-01-26 23:36:23
600,0.2,5,600025,0.02180138250709194,0.3742457080516033,2026-01-26 23:36:23
600,0.2,3,600023,0.010849736400050554,0.42830170900560915,2026-01-26 23:36:23
600,0.2,4,600024,0.021408570377486214,0.43215850001433864,2026-01-26 23:36:23
600,0.2,1,600021,0.018352374486065155,0.4520795000134967,2026-01-26 23:36:23
600,0.2,6,600026,0.015905707831085837,0.3567107919952832,2026-01-26 23:36:23
600,0.2,7,600027,0.011886930200424613,0.3425769999739714,2026-01-26 23:36:23
600,0.2,8,600028,0.01500506286435445,0.38145450002048165,2026-01-26 23:36:23
600,0.2,9,600029,0.0364603576033209,0.31086408405099064,2026-01-26 23:36:24
600,0.2,10,600030,0.02257448497430934,0.3077725420007482,2026-01-26 23:36:24
600,0.2,13,600033,0.022263394944596674,0.29594654199900106,2026-01-26 23:36:24
600,0.2,11,600031,0.01725670949063205,0.3261267500347458,2026-01-26 23:36:24
600,0.2,12,600032,0.033088119490683174,0.3493212919565849,2026-01-26 23:36:24
600,0.2,14,600034,0.013600398708370693,0.32372787495842203,2026-01-26 23:36:24
600,0.2,15,600035,0.029324694481802506,0.3208372090011835,2026-01-26 23:36:24
600,0.2,16,600036,0.019583973940085906,0.26628849998814985,2026-01-26 23:36:24
600,0.2,17,600037,0.032767716996262714,0.24036687501939014,2026-01-26 23:36:24
600,0.2,18,600038,0.01139808147774892,0.2501605420256965,2026-01-26 23:36:24
600,0.2,19,600039,0.047838728057692764,0.25870024994947016,2026-01-26 23:36:24
600,0.5,0,600050,0.007937473506475489,0.2503775419900194,2026-01-26 23:36:29
600,0.5,2,600052,0.006799698635086679,0.23548799997661263,2026-01-26 23:36:29
600,0.5,1,600051,0.002355123151072509,0.26392920897342265,2026-01-26 23:36:29
600,0.5,3,600053,0.00377365249120779,0.23385324998525903,2026-01-26 23:36:29
600,0.5,4,600054,0.0034227915765418565,0.2453196250135079,2026-01-26 23:36:29
600,0.5,5,600055,0.005232050259682586,0.2631577500142157,2026-01-26 23:36:29
600,0.5,6,600056,0.004180500439136943,0.2737158340169117,2026-01-26 23:36:29
600,0.5,8,600058,0.007995758209729663,0.27925479103578255,2026-01-26 23:36:29
600,0.5,9,600059,0.005387324926829752,0.3031469590496272,2026-01-26 23:36:29
600,0.5,10,600060,0.004883928655631745,0.30260749999433756,2026-01-26 23:36:29
600,0.5,7,600057,0.0054706226019334,0.33396595797967166,2026-01-26 23:36:29
600,0.5,11,600061,0.0036899414480483913,0.32844670896884054,2026-01-26 23:36:29
600,0.5,12,600062,0.002598350124545099,0.33991287503158674,2026-01-26 23:36:29
600,0.5,13,600063,0.003568300086136474,0.3725149999954738,2026-01-26 23:36:29
600,0.5,14,600064,0.005157464593949474,0.39055716700386256,2026-01-26 23:36:29
600,0.5,16,600066,0.004220695165509575,0.35458366700913757,2026-01-26 23:36:29
600,0.5,15,600065,0.0035123925105457767,0.35898550000274554,2026-01-26 23:36:29
600,0.5,17,600067,0.0035216271822523263,0.3640225839917548,2026-01-26 23:36:29
600,0.5,18,600068,0.00239005458242131,0.3708578330115415,2026-01-26 23:36:29
600,0.5,19,600069,0.006069738508656293,0.33087520801927894,2026-01-26 23:36:29
600,1.0,0,600100,0.0029296598851123747,0.30715216702083126,2026-01-26 23:36:37
600,1.0,2,600102,0.001031218328310088,0.37397566600702703,2026-01-26 23:36:37
600,1.0,1,600101,0.0011825000491020232,0.44324549997691065,2026-01-26 23:36:37
600,1.0,3,600103,0.002159707116832225,0.45873541600303724,2026-01-26 23:36:37
600,1.0,5,600105,0.00260191445081033,0.4550475000287406,2026-01-26 23:36:37
600,1.0,4,600104,0.0008601542657468982,0.49380804202519357,2026-01-26 23:36:37
600,1.0,6,600106,0.0011903728764278822,0.4752312080236152,2026-01-26 23:36:37
600,1.0,7,600107,0.0033047238284505706,0.4679594169720076,2026-01-26 23:36:37
600,1.0,8,600108,0.0014049891486143746,0.36047045898158103,2026-01-26 23:36:37
600,1.0,10,600110,0.0020029748160132867,0.41512812505243346,2026-01-26 23:36:37
600,1.0,9,600109,0.002014299562499305,0.4716599580133334,2026-01-26 23:36:37
600,1.0,14,600114,0.001067084381689557,0.33734337496571243,2026-01-26 23:36:37
600,1.0,12,600112,0.0022893009191370947,0.40505679097259417,2026-01-26 23:36:37
600,1.0,11,600111,0.0015786330156110017,0.47600241703912616,2026-01-26 23:36:37
600,1.0,13,600113,0.0013089442401436346,0.4031560000148602,2026-01-26 23:36:38
600,1.0,15,600115,0.0007524094089913646,0.450974875013344,2026-01-26 23:36:38
600,1.0,16,600116,0.0026432992243783293,0.4657878330326639,2026-01-26 23:36:38
600,1.0,18,600118,0.0009459346366865912,0.2900963749852963,2026-01-26 23:36:38
600,1.0,17,600117,0.002563133876927061,0.335491958016064,2026-01-26 23:36:38
600,1.0,19,600119,0.002296614687074683,0.39814875001320615,2026-01-26 23:36:38
1200,0.1,0,1200010,0.01418491843671799,0.7705401669954881,2026-01-26 23:36:48
1200,0.1,1,1200011,0.020442299681576175,1.2692607079516165,2026-01-26 23:36:49
1200,0.1,2,1200012,0.04884141103165098,1.1951075000106357,2026-01-26 23:36:50
1200,0.1,3,1200013,0.0340575522711172,1.4236561250290833,2026-01-26 23:36:50
1200,0.1,6,1200016,0.01745922176594804,1.4338024170137942,2026-01-26 23:36:51
1200,0.1,4,1200014,0.0553426668074739,1.7326052909484133,2026-01-26 23:36:51
1200,0.1,5,1200015,0.17544951586458193,1.6482390000019222,2026-01-26 23:36:52
1200,0.1,8,1200018,0.07863502650782508,1.4676833330304362,2026-01-26 23:36:52
1200,0.1,7,1200017,0.05651945699060244,1.5985456249909475,2026-01-26 23:36:53
1200,0.1,9,1200019,0.024971550349023763,1.8206598330289125,2026-01-26 23:36:53
1200,0.1,10,1200020,0.038490593448328725,1.749811707995832,2026-01-26 23:36:54
1200,0.1,11,1200021,0.026468365182892417,1.4934589579934254,2026-01-26 23:36:54
1200,0.1,13,1200023,0.03340710723079767,1.2024964580195956,2026-01-26 23:36:54
1200,0.1,12,1200022,0.05573152676973194,1.3869600829784758,2026-01-26 23:36:55
1200,0.1,15,1200025,0.03393184406987599,1.2191274170181714,2026-01-26 23:36:55
1200,0.1,14,1200024,0.012858051777972229,1.2483002500375733,2026-01-26 23:36:55
1200,0.1,16,1200026,0.04390829033841284,1.23495454096701,2026-01-26 23:36:56
1200,0.1,17,1200027,0.02683894975563836,0.6059511250350624,2026-01-26 23:36:56
1200,0.1,18,1200028,0.02348602901212887,0.5910491659888066,2026-01-26 23:36:56
1200,0.1,19,1200029,0.07553376136975935,0.3352603339590132,2026-01-26 23:36:57
1200,0.2,0,1200020,0.011665962655587265,0.8021236659842543,2026-01-26 23:37:03
1200,0.2,2,1200022,0.011519698726585764,0.6955101659987122,2026-01-26 23:37:03
1200,0.2,1,1200021,0.007438118803058727,0.7386705409735441,2026-01-26 23:37:03
1200,0.2,3,1200023,0.005784063856632762,0.7098847499582916,2026-01-26 23:37:03
1200,0.2,5,1200025,0.008717575896661842,0.7109199170372449,2026-01-26 23:37:04
1200,0.2,6,1200026,0.010055182963243647,0.7715280829579569,2026-01-26 23:37:04
1200,0.2,7,1200027,0.007142531767760719,0.7492592090275139,2026-01-26 23:37:04
1200,0.2,4,1200024,0.0036527054812966245,0.8879209579899907,2026-01-26 23:37:05
1200,0.2,8,1200028,0.005821214199976163,1.0366860830108635,2026-01-26 23:37:05
1200,0.2,11,1200031,0.008647884216024061,1.066211583034601,2026-01-26 23:37:05
1200,0.2,9,1200029,0.01980705768329301,1.198924625001382,2026-01-26 23:37:05
1200,0.2,10,1200030,0.007426107627084176,1.2296953329932876,2026-01-26 23:37:06
1200,0.2,12,1200032,0.01455749111322367,1.1648658330086619,2026-01-26 23:37:06
1200,0.2,13,1200033,0.004479807148360933,1.206196709012147,2026-01-26 23:37:06
1200,0.2,14,1200034,0.010809987861715263,1.219954999978654,2026-01-26 23:37:06
1200,0.2,15,1200035,0.005247625799923631,1.1503567089675926,2026-01-26 23:37:07
1200,0.2,16,1200036,0.013109940644820081,0.9646014170139097,2026-01-26 23:37:07
1200,0.2,17,1200037,0.009302386403700385,0.7953887499752454,2026-01-26 23:37:07
1200,0.2,18,1200038,0.010427239549892222,0.8587044169544242,2026-01-26 23:37:08
1200,0.2,19,1200039,0.009757178625505772,0.8724196249968372,2026-01-26 23:37:08
1200,0.5,5,1200055,0.00272124271693335,0.9705224999925122,2026-01-26 23:37:16
1200,0.5,0,1200050,0.0016078695829063975,1.2505229159723967,2026-01-26 23:37:16
1200,0.5,2,1200052,0.001850484362784525,1.1708540840190835,2026-01-26 23:37:16
1200,0.5,6,1200056,0.0022134546894671714,1.0657722920295782,2026-01-26 23:37:16
1200,0.5,3,1200053,0.0017654478871885755,1.1752692080335692,2026-01-26 23:37:16
1200,0.5,4,1200054,0.0016827464275158473,1.2144578750012442,2026-01-26 23:37:16
1200,0.5,1,1200051,0.0019198377990441602,1.3647549590095878,2026-01-26 23:37:17
1200,0.5,7,1200057,0.001034087887520142,1.0949098750133999,2026-01-26 23:37:17
1200,0.5,9,1200059,0.0015228139231534693,0.8151415419997647,2026-01-26 23:37:17
1200,0.5,8,1200058,0.001984134667859847,0.8821707079769112,2026-01-26 23:37:17
1200,0.5,10,1200060,0.0021336198621583493,0.8718864579568617,2026-01-26 23:37:17
1200,0.5,12,1200062,0.0014556861032447408,1.073888042010367,2026-01-26 23:37:17
1200,0.5,11,1200061,0.002092552869614987,1.0897663329960778,2026-01-26 23:37:18
1200,0.5,13,1200063,0.0026931151440856946,1.03099562501302,2026-01-26 23:37:18
1200,0.5,14,1200064,0.002269401075541659,1.0017498329980299,2026-01-26 23:37:18
1200,0.5,15,1200065,0.003231514607887189,0.791874457965605,2026-01-26 23:37:18
1200,0.5,17,1200067,0.0027233182196357664,0.8430781660135835,2026-01-26 23:37:18
1200,0.5,16,1200066,0.003235780816401092,0.876294334011618,2026-01-26 23:37:19
1200,0.5,18,1200068,0.0013079996108143514,0.8390539160463959,2026-01-26 23:37:19
1200,0.5,19,1200069,0.0015813371202270756,0.6385053750127554,2026-01-26 23:37:19
1200,1.0,2,1200102,0.0009729270258227962,0.8977106250240467,2026-01-26 23:37:26
1200,1.0,0,1200100,0.0010897458416148037,1.0966674579540268,2026-01-26 23:37:26
1200,1.0,3,1200103,0.0012279902209475346,0.9278081249794923,2026-01-26 23:37:27
1200,1.0,1,1200101,0.0010950466791574045,1.0468947920016944,2026-01-26 23:37:27
