n_samples,epsilon,DP_mse_mean,DP_mse_se,PMS_mse_mean,PMS_mse_se,PMS_runtime_mean,PMS_runtime_std,DP_runtime_mean,DP_runtime_std
300,0.1,0.3115479024200751,0.04899505619915797,0.0,0.0,0.012206593831069767,0.00015989520336337685,0.05725808950373903,0.007238695986744696
300,0.2,0.08721660720633499,0.01231163823160922,0.0,0.0,0.012402474950067698,0.00033054480818503696,0.060338412562850864,0.01040518872941613
300,0.5,0.04311436927015998,0.0057645545068427465,0.0,0.0,0.01244945004582405,0.00014984042817962732,0.05503747912589461,0.00801694938776626
300,1.0,0.04842418866356006,0.005397523249574427,0.0,0.0,0.01258754578884691,0.00029129406626688965,0.05213725622743368,0.010124752010736274
600,0.1,0.0950875772943371,0.011594441662505376,0.0,0.0,0.03581949162762612,0.0003652180187239804,0.14752803540322929,0.03411484640008471
600,0.2,0.04013684469154387,0.003954941342372852,0.0,0.0,0.035986454191152005,0.0006306316889011505,0.1522038999479264,0.024056326630070072
600,0.5,0.029897201533312746,0.004031253692907155,0.0,0.0,0.036072341667022556,0.0005567722992228913,0.170835749944672,0.041549958808324496
600,1.0,0.026843946411725876,0.0024762492050104503,0.0,0.0,0.036534304008819164,0.0005333410611342308,0.1346555042080581,0.01863184069935079
1200,0.1,0.04887679768460788,0.0034831323966106695,0.0,0.0,0.10519763129996136,0.001460182978401751,0.42621268323855477,0.07377469658171003
1200,0.2,0.02353960496156289,0.002269092675474355,0.0,0.0,0.10366673547541723,0.001209414328585344,0.4815846374258399,0.12480008476944077
1200,0.5,0.022199618390434467,0.0026361986078785237,0.0,0.0,0.1028633227571845,0.0007042207290498954,0.37924893747549504,0.05688484913522175
1200,1.0,0.018822354387497957,0.0029894799270071804,0.0,0.0,0.10331977917812765,0.0005254696044879998,0.3577412188635208,0.050183615734511265
2100,0.1,0.02045780738994115,0.0014358628615895436,0.0,0.0,0.2551649688393809,0.007702027876339635,1.1993110271170735,0.3936759465586641
2100,0.2,0.01828397347205735,0.0015358206634603086,0.0,0.0,0.24590226038126275,0.0037247822116636786,1.1464554270962253,0.2857901431821558
2100,0.5,0.011644132139744624,0.0013545035721704221,0.0,0.0,0.24769297717139124,0.002149773938986304,1.319042972882744,0.4707630461945361
2100,1.0,0.014814737370111283,0.001987011045914361,0.0,0.0,0.2540800166781992,0.005848031970649101,1.4341135104419664,0.6278573019451735
