n_samples,epsilon,run_idx,seed,pms_mse,pms_runtime_s,timestamp
300,0.1,0,2300010,0.0,0.012688291957601905,2026-03-07 20:08:06
300,0.1,1,2300011,0.0,0.012273041997104883,2026-03-07 20:08:06
300,0.1,2,2300012,0.0,0.012243291828781366,2026-03-07 20:08:06
300,0.1,3,2300013,0.0,0.012260708957910538,2026-03-07 20:08:06
300,0.1,4,2300014,0.0,0.012248000130057335,2026-03-07 20:08:06
300,0.1,5,2300015,0.0,0.012265208875760436,2026-03-07 20:08:06
300,0.1,6,2300016,0.0,0.012494999915361404,2026-03-07 20:08:06
300,0.1,7,2300017,0.0,0.012274374952539802,2026-03-07 20:08:06
300,0.1,8,2300018,0.0,0.012327292002737522,2026-03-07 20:08:06
300,0.1,9,2300019,0.0,0.012229917105287313,2026-03-07 20:08:06
300,0.1,10,2300020,0.0,0.012289457954466343,2026-03-07 20:08:06
300,0.1,11,2300021,0.0,0.01217825012281537,2026-03-07 20:08:06
300,0.1,12,2300022,0.0,0.01222291705198586,2026-03-07 20:08:06
300,0.1,13,2300023,0.0,0.012192666996270418,2026-03-07 20:08:06
300,0.1,14,2300024,0.0,0.012130792019888759,2026-03-07 20:08:06
300,0.1,15,2300025,0.0,0.0122532919049263,2026-03-07 20:08:06
300,0.1,16,2300026,0.0,0.012153000105172396,2026-03-07 20:08:06
300,0.1,17,2300027,0.0,0.012172249844297767,2026-03-07 20:08:06
300,0.1,18,2300028,0.0,0.012257792055606842,2026-03-07 20:08:06
300,0.1,19,2300029,0.0,0.01215408300049603,2026-03-07 20:08:06
300,0.2,0,2300020,0.0,0.012905291048809886,2026-03-07 20:08:09
300,0.2,1,2300021,0.0,0.012309042038396,2026-03-07 20:08:09
300,0.2,2,2300022,0.0,0.012164584128186107,2026-03-07 20:08:09
300,0.2,3,2300023,0.0,0.012451541144400835,2026-03-07 20:08:09
300,0.2,4,2300024,0.0,0.012458333047106862,2026-03-07 20:08:09
300,0.2,5,2300025,0.0,0.012390875024721026,2026-03-07 20:08:09
300,0.2,6,2300026,0.0,0.012305833166465163,2026-03-07 20:08:09
300,0.2,7,2300027,0.0,0.012178957927972078,2026-03-07 20:08:09
300,0.2,8,2300028,0.0,0.01223454182036221,2026-03-07 20:08:09
300,0.2,9,2300029,0.0,0.012268000049516559,2026-03-07 20:08:09
300,0.2,10,2300030,0.0,0.012568833073601127,2026-03-07 20:08:09
300,0.2,11,2300031,0.0,0.012302708113566041,2026-03-07 20:08:09
300,0.2,12,2300032,0.0,0.012225792044773698,2026-03-07 20:08:09
300,0.2,13,2300033,0.0,0.012210249900817871,2026-03-07 20:08:09
300,0.2,14,2300034,0.0,0.012194542214274406,2026-03-07 20:08:09
