n_samples,epsilon,run_idx,seed,dp_mse,dp_runtime_s,timestamp
200,0.1,0,200010,0.6598894466365206,0.031196833588182926,2025-12-04 18:46:08
200,0.1,1,200011,0.8172399105427749,0.029841875191777945,2025-12-04 18:46:08
200,0.1,2,200012,0.820835324676212,0.03721362492069602,2025-12-04 18:46:08
200,0.1,4,200014,0.39265773135092075,0.022694249637424946,2025-12-04 18:46:09
200,0.1,7,200017,1.2360890158424498,0.028557458892464638,2025-12-04 18:46:09
200,0.1,5,200015,0.44116892367559385,0.03349645808339119,2025-12-04 18:46:09
200,0.1,3,200013,0.3286160279168652,0.043493667151778936,2025-12-04 18:46:09
200,0.1,6,200016,0.10574275322033286,0.032847624737769365,2025-12-04 18:46:09
200,0.1,8,200018,0.4990594829908616,0.02792658330872655,2025-12-04 18:46:09
200,0.1,9,200019,0.5468854283917949,0.031644165981560946,2025-12-04 18:46:09
200,0.1,10,200020,1.5021860518228083,0.02413691719993949,2025-12-04 18:46:09
200,0.1,13,200023,0.5354416184634276,0.03473204141482711,2025-12-04 18:46:09
200,0.1,16,200026,0.32629467969034104,0.022628333885222673,2025-12-04 18:46:09
200,0.1,14,200024,0.19135675041713307,0.03519004164263606,2025-12-04 18:46:09
200,0.1,15,200025,1.1696505815729494,0.03528737463057041,2025-12-04 18:46:09
200,0.1,12,200022,0.2616751946639703,0.04089733399450779,2025-12-04 18:46:09
200,0.1,11,200021,0.10708268270677078,0.042512542102485895,2025-12-04 18:46:09
200,0.1,17,200027,0.5165272382100308,0.028923166915774345,2025-12-04 18:46:09
200,0.1,18,200028,0.2168345847419281,0.026955208275467157,2025-12-04 18:46:09
200,0.1,19,200029,0.4935377921338734,0.02241020929068327,2025-12-04 18:46:09
200,0.2,0,200020,0.38728561070581263,0.032048875000327826,2025-12-04 18:46:11
200,0.2,1,200021,0.027390463735385763,0.038679707795381546,2025-12-04 18:46:11
200,0.2,2,200022,0.10367078339256829,0.03284650016576052,2025-12-04 18:46:11
200,0.2,3,200023,0.12021032669828947,0.025474458001554012,2025-12-04 18:46:11
200,0.2,4,200024,0.047159154485112736,0.031388959381729364,2025-12-04 18:46:11
200,0.2,5,200025,0.4089612808030249,0.03567029209807515,2025-12-04 18:46:11
200,0.2,6,200026,0.2709820824331931,0.030735000036656857,2025-12-04 18:46:11
200,0.2,9,200029,0.0937081705650951,0.02526629203930497,2025-12-04 18:46:11
200,0.2,7,200027,0.14229834465339478,0.042297333013266325,2025-12-04 18:46:11
200,0.2,8,200028,0.06039078621727335,0.03186466684564948,2025-12-04 18:46:11
200,0.2,10,200030,0.2604986899903212,0.032237000297755,2025-12-04 18:46:11
200,0.2,15,200035,0.17773707792171983,0.018559542018920183,2025-12-04 18:46:11
200,0.2,12,200032,0.03323454288876591,0.03386770887300372,2025-12-04 18:46:11
200,0.2,11,200031,0.12339882527792907,0.038618792314082384,2025-12-04 18:46:11
200,0.2,14,200034,0.14015034525516964,0.029152625240385532,2025-12-04 18:46:11
200,0.2,13,200033,0.05681459748420572,0.0319047081284225,2025-12-04 18:46:11
200,0.2,16,200036,0.10056250724594708,0.03539162501692772,2025-12-04 18:46:11
200,0.2,18,200038,0.11758493943917603,0.020265959203243256,2025-12-04 18:46:11
200,0.2,17,200037,0.13483753077343316,0.03704941691830754,2025-12-04 18:46:11
200,0.2,19,200039,0.3765553420299699,0.023643250111490488,2025-12-04 18:46:11
200,0.5,0,200050,0.03559134208883083,0.025974125135689974,2025-12-04 18:46:13
200,0.5,1,200051,0.011051349307521361,0.030550791881978512,2025-12-04 18:46:13
200,0.5,2,200052,0.046773747134733125,0.02612754236906767,2025-12-04 18:46:13
200,0.5,3,200053,0.020201501799330134,0.027789500076323748,2025-12-04 18:46:13
200,0.5,4,200054,0.027779586467167425,0.03102504089474678,2025-12-04 18:46:13
200,0.5,5,200055,0.046375226907966166,0.027405583299696445,2025-12-04 18:46:13
200,0.5,7,200057,0.0274639294439271,0.02009687526151538,2025-12-04 18:46:13
200,0.5,6,200056,0.027329954845303178,0.027763749938458204,2025-12-04 18:46:13
200,0.5,8,200058,0.013371278283054334,0.035135542042553425,2025-12-04 18:46:13
200,0.5,11,200061,0.02734041319375049,0.022696999832987785,2025-12-04 18:46:13
200,0.5,10,200060,0.02462737675378972,0.03227258287370205,2025-12-04 18:46:13
200,0.5,9,200059,0.05078778640284347,0.034866875037550926,2025-12-04 18:46:13
200,0.5,12,200062,0.027121330893464943,0.033132375217974186,2025-12-04 18:46:13
200,0.5,13,200063,0.037191469446044255,0.023616500198841095,2025-12-04 18:46:13
200,0.5,15,200065,0.009286907150749866,0.02419883292168379,2025-12-04 18:46:13
200,0.5,14,200064,0.015939829357146676,0.033184584230184555,2025-12-04 18:46:13
200,0.5,16,200066,0.00724562085317912,0.030030916910618544,2025-12-04 18:46:13
200,0.5,17,200067,0.026464251155867462,0.02861537504941225,2025-12-04 18:46:13
200,0.5,18,200068,0.021160725013012187,0.03103966685011983,2025-12-04 18:46:13
200,0.5,19,200069,0.044193958148384505,0.025309833232313395,2025-12-04 18:46:13
200,1.0,0,200100,0.012291804617443183,0.03296804195269942,2025-12-04 18:46:15
200,1.0,1,200101,0.008128880015289006,0.0404488337226212,2025-12-04 18:46:15
200,1.0,2,200102,0.00873106698012881,0.038508542347699404,2025-12-04 18:46:15
200,1.0,3,200103,0.011688760153750304,0.03465666715055704,2025-12-04 18:46:15
200,1.0,4,200104,0.0074886156707978735,0.033237791154533625,2025-12-04 18:46:15
200,1.0,5,200105,0.009257503183876584,0.02162395790219307,2025-12-04 18:46:15
200,1.0,7,200107,0.00756742270797178,0.023233958054333925,2025-12-04 18:46:15
200,1.0,6,200106,0.0059287147495582235,0.03410837519913912,2025-12-04 18:46:15
200,1.0,8,200108,0.013778131579607335,0.03556070802733302,2025-12-04 18:46:15
200,1.0,9,200109,0.005765653844836655,0.032268124632537365,2025-12-04 18:46:15
200,1.0,10,200110,0.012987048184946866,0.03275620797649026,2025-12-04 18:46:15
200,1.0,12,200112,0.009765334671015834,0.02039987500756979,2025-12-04 18:46:15
200,1.0,11,200111,0.006689755952336304,0.033576457761228085,2025-12-04 18:46:15
200,1.0,14,200114,0.008186850527284423,0.028553166892379522,2025-12-04 18:46:15
200,1.0,13,200113,0.006931497125235617,0.0309342909604311,2025-12-04 18:46:15
200,1.0,15,200115,0.00984231059868495,0.02912458311766386,2025-12-04 18:46:15
200,1.0,18,200118,0.012594788979172695,0.024915082845836878,2025-12-04 18:46:15
200,1.0,17,200117,0.008526863615993587,0.029734416864812374,2025-12-04 18:46:15
200,1.0,16,200116,0.011014091657301743,0.03667658427730203,2025-12-04 18:46:15
200,1.0,19,200119,0.009237213322900001,0.023352124728262424,2025-12-04 18:46:15
500,0.1,1,500011,0.04613239346793614,0.08578837523236871,2025-12-04 18:46:18
500,0.1,2,500012,0.03418462480501678,0.08123870892450213,2025-12-04 18:46:18
500,0.1,0,500010,0.13643270962802875,0.12159891659393907,2025-12-04 18:46:18
500,0.1,3,500013,0.10896138957419135,0.13287458289414644,2025-12-04 18:46:18
500,0.1,6,500016,0.10724424165295644,0.11163958394899964,2025-12-04 18:46:18
500,0.1,7,500017,0.10131222872675535,0.10159733425825834,2025-12-04 18:46:18
500,0.1,5,500015,0.3262604813391839,0.11538387509062886,2025-12-04 18:46:18
500,0.1,4,500014,0.040828608110264536,0.12476450018584728,2025-12-04 18:46:18
