epsilon,DP_mean,DP_se,DP_time_mean,DP_time_se,MS_mean,MS_se
0.1,0.4685873750712874,0.0365891511849657,0.1436258520465344,0.0012572381870696802,0.0029229122231214824,1.6895521744933393e-05
0.2,0.13759795152816873,0.014656900540460888,0.1417433667811565,0.0011026935795605405,0.0029229122231214824,1.6895521744933393e-05
0.5,0.028877178527661383,0.0034437467775602585,0.1433272291906178,0.0008647614429725852,0.0029229122231214824,1.6895521744933393e-05
1,0.00911598898316208,0.0009051491805400454,0.14914096876746044,0.0036162045595000084,0.0029229122231214824,1.6895521744933393e-05
5,0.0037744068911277546,0.0003659336267300777,0.14484279995085672,0.000983078882860318,0.0029229122231214824,1.6895521744933393e-05
