Algorithm,Eps_modes,Run,Seed,ARI,NMI,MSE,Runtime_s,timestamp
DP-GRAMS-C,0.001,0,41,0.08689128613768937,0.19791609756925516,339.1775946972837,4.608882188796997,2026-01-28 05:19:38
DP-GRAMS-C,0.001,1,42,0.1515091960983917,0.27847100073072784,284.9388116589867,4.60759711265564,2026-01-28 05:19:38
DP-GRAMS-C,0.001,2,43,0.16267067296550167,0.26081071943205847,322.08944607006276,4.557995557785034,2026-01-28 05:19:43
DP-GRAMS-C,0.001,3,44,0.11129290464952844,0.23485404192186304,316.8292157306747,4.903963565826416,2026-01-28 05:19:43
DP-GRAMS-C,0.001,4,45,0.09669154502505695,0.20781513328911988,399.749364848533,4.302011489868164,2026-01-28 05:19:47
DP-GRAMS-C,0.001,5,46,0.052103919062384596,0.1765729968092007,329.64839132070756,4.763015985488892,2026-01-28 05:19:48
DP-GRAMS-C,0.001,6,47,0.1336855959507314,0.2303832021530845,357.14297397565747,4.8990771770477295,2026-01-28 05:19:52
DP-GRAMS-C,0.001,7,48,0.11286601720544089,0.20627619445768178,345.2174081262873,4.581851243972778,2026-01-28 05:19:53
DP-GRAMS-C,0.001,8,49,0.1342283756078237,0.23312202799002765,333.8278225299497,5.274567365646362,2026-01-28 05:19:57
DP-GRAMS-C,0.001,9,50,0.13243400398179728,0.22569407377984985,349.5226648058592,4.952053546905518,2026-01-28 05:19:58
DP-GRAMS-C,0.001,10,51,0.1147569545550026,0.21946979371568312,344.7534801998278,4.074541330337524,2026-01-28 05:20:01
DP-GRAMS-C,0.001,11,52,0.06964572571672249,0.16557337811243775,387.3476324152845,4.03679347038269,2026-01-28 05:20:02
DP-GRAMS-C,0.001,12,53,0.10690112100955315,0.25354381843195506,318.3841447176084,3.96858549118042,2026-01-28 05:20:05
DP-GRAMS-C,0.001,13,54,0.11115744149871604,0.20558638549153863,352.8435752689895,4.016475439071655,2026-01-28 05:20:06
DP-GRAMS-C,0.001,14,55,0.05030355307485324,0.1603210399114044,330.5308346861956,3.998562812805176,2026-01-28 05:20:09
DP-GRAMS-C,0.001,15,56,0.112773530242407,0.21354529858562557,347.3960842434046,4.054076910018921,2026-01-28 05:20:10
DP-GRAMS-C,0.001,16,57,0.06412006753431995,0.20650772040129264,370.24230361703513,3.960285186767578,2026-01-28 05:20:13
DP-GRAMS-C,0.001,17,58,0.08993191599352297,0.20769065551296,354.39942612734,3.9933297634124756,2026-01-28 05:20:14
DP-GRAMS-C,0.001,18,59,0.09967763645306332,0.2366482573700689,292.1914079244676,3.98512601852417,2026-01-28 05:20:17
DP-GRAMS-C,0.001,19,60,0.1251244005591447,0.22883125476283275,298.7292083862855,4.025425910949707,2026-01-28 05:20:18
DP-GRAMS-C,0.01,1,42,0.26211104792112744,0.43551192278240636,84.25579590281674,4.211715459823608,2026-01-28 05:20:34
DP-GRAMS-C,0.01,0,41,0.31413042141892,0.4556700402136235,67.30629180321262,4.216466426849365,2026-01-28 05:20:34
DP-GRAMS-C,0.01,3,44,0.33939688068009816,0.4784371684778462,63.2084587007764,4.009563684463501,2026-01-28 05:20:38
DP-GRAMS-C,0.01,2,43,0.28498872394372043,0.4462376498179315,69.14472450563835,4.085450887680054,2026-01-28 05:20:38
DP-GRAMS-C,0.01,4,45,0.2759880805528896,0.42279549422113083,77.58915625222411,4.071496248245239,2026-01-28 05:20:42
DP-GRAMS-C,0.01,5,46,0.32485734763003654,0.4672668610490908,77.77461194071569,4.13514518737793,2026-01-28 05:20:42
DP-GRAMS-C,0.01,6,47,0.3454121477187463,0.49057053639545745,84.44822839154713,4.009544134140015,2026-01-28 05:20:46
DP-GRAMS-C,0.01,7,48,0.38655988664161317,0.5151713119826811,64.29474848316484,4.0710413455963135,2026-01-28 05:20:46
DP-GRAMS-C,0.01,8,49,0.2741828709587412,0.44048975086229464,115.09399990441605,4.0443079471588135,2026-01-28 05:20:50
DP-GRAMS-C,0.01,9,50,0.3227155298391714,0.4538853272608991,83.9986336440851,4.091232538223267,2026-01-28 05:20:50
DP-GRAMS-C,0.01,10,51,0.2891268911847184,0.4395441010471819,79.87538008799099,4.154935359954834,2026-01-28 05:20:54
DP-GRAMS-C,0.01,11,52,0.26933744445852925,0.4262773271404919,87.57670277473103,4.084529876708984,2026-01-28 05:20:54
DP-GRAMS-C,0.01,12,53,0.3505118431526431,0.47965161610137075,76.82104114852112,4.048233270645142,2026-01-28 05:20:58
DP-GRAMS-C,0.01,13,54,0.31985331728380617,0.453240712508526,60.831344139631234,3.9968392848968506,2026-01-28 05:20:58
DP-GRAMS-C,0.01,14,55,0.33649878404524936,0.4727668898770848,61.969758132545394,4.073284149169922,2026-01-28 05:21:02
DP-GRAMS-C,0.01,15,56,0.32339576590702057,0.46797094843887377,91.75805775624116,4.029465913772583,2026-01-28 05:21:02
DP-GRAMS-C,0.01,16,57,0.3145853349433422,0.4924619927392159,113.40239192790575,4.056242227554321,2026-01-28 05:21:06
DP-GRAMS-C,0.01,17,58,0.3106200698096614,0.4539231110606064,62.704142156341845,3.992830991744995,2026-01-28 05:21:06
DP-GRAMS-C,0.01,19,60,0.3398731286616265,0.4882301956314988,106.6429900363986,4.02187967300415,2026-01-28 05:21:10
DP-GRAMS-C,0.01,18,59,0.28893448321838894,0.44177523706983923,85.31567488004481,4.0537025928497314,2026-01-28 05:21:10
DP-GRAMS-C,0.1,1,42,0.2914628245250576,0.4505198839500591,70.75870626302903,4.18906569480896,2026-01-28 05:21:25
DP-GRAMS-C,0.1,0,41,0.3103668872575333,0.4570876789342946,85.30307682707199,4.210940361022949,2026-01-28 05:21:25
DP-GRAMS-C,0.1,2,43,0.27731435895939216,0.4314210462472598,82.09385160205125,4.066419363021851,2026-01-28 05:21:29
DP-GRAMS-C,0.1,3,44,0.34714359639110964,0.48470151294924035,101.82788959449667,4.1305835247039795,2026-01-28 05:21:29
DP-GRAMS-C,0.1,5,46,0.34042530721375314,0.47532215579693443,71.0494279484436,4.077724456787109,2026-01-28 05:21:33
DP-GRAMS-C,0.1,4,45,0.29594062465466014,0.4457733599160906,72.18695203535543,4.158307313919067,2026-01-28 05:21:33
DP-GRAMS-C,0.1,6,47,0.34293027835240364,0.4700396279424541,66.34266217486783,4.04534912109375,2026-01-28 05:21:37
DP-GRAMS-C,0.1,7,48,0.34536079080418863,0.48384195481796116,67.55361505637464,4.089667320251465,2026-01-28 05:21:37
DP-GRAMS-C,0.1,8,49,0.2993031051736868,0.4535156288913932,110.86160920507697,4.1069862842559814,2026-01-28 05:21:41
DP-GRAMS-C,0.1,9,50,0.3457613348811155,0.4813124761929801,73.82020932488047,4.063432455062866,2026-01-28 05:21:41
DP-GRAMS-C,0.1,11,52,0.297850193832132,0.4482466317888252,85.5928306501884,4.03368878364563,2026-01-28 05:21:45
DP-GRAMS-C,0.1,10,51,0.2830795545965122,0.4476564717601006,61.1196083163759,4.094444036483765,2026-01-28 05:21:45
DP-GRAMS-C,0.1,12,53,0.3888366083656089,0.5059932866782579,51.18092151487082,4.08630108833313,2026-01-28 05:21:49
DP-GRAMS-C,0.1,13,54,0.338711306994293,0.4676687582838869,66.30058438134378,4.166049480438232,2026-01-28 05:21:50
DP-GRAMS-C,0.1,14,55,0.31256570837384173,0.45887641586225847,75.54995483423811,4.06089448928833,2026-01-28 05:21:53
DP-GRAMS-C,0.1,15,56,0.35577480106251724,0.5047981070237445,68.46943442787453,4.10869026184082,2026-01-28 05:21:54
DP-GRAMS-C,0.1,16,57,0.30439385231817984,0.47684640190460525,104.07565195457815,4.029256105422974,2026-01-28 05:21:58
DP-GRAMS-C,0.1,17,58,0.30943577863168914,0.46161601109429906,76.00494820323277,4.1090216636657715,2026-01-28 05:21:58
DP-GRAMS-C,0.1,18,59,0.32638770403794926,0.4768251999809116,71.12751075061085,4.094701766967773,2026-01-28 05:22:02
DP-GRAMS-C,0.1,19,60,0.3193449729841065,0.4734301914553895,61.44620770366223,4.154405832290649,2026-01-28 05:22:02
DP-GRAMS-C,1.0,0,41,0.3354372238909015,0.472203105308561,75.54569212218824,4.102481842041016,2026-01-28 05:22:16
DP-GRAMS-C,1.0,1,42,0.2939327271896551,0.4519016282159088,70.23405207765155,4.15570592880249,2026-01-28 05:22:16
DP-GRAMS-C,1.0,2,43,0.2967181773383873,0.45282592524868287,68.95817236144326,4.016340970993042,2026-01-28 05:22:20
DP-GRAMS-C,1.0,3,44,0.34015325920097567,0.48160428812208306,89.23924310989428,4.060058355331421,2026-01-28 05:22:20
DP-GRAMS-C,1.0,4,45,0.2942469448960504,0.44950416191079184,67.55690523737708,3.988503932952881,2026-01-28 05:22:24
DP-GRAMS-C,1.0,5,46,0.33786169373122943,0.4731444350671106,71.14384427539306,4.030803203582764,2026-01-28 05:22:24
DP-GRAMS-C,1.0,6,47,0.32964157143656747,0.4535081737605615,71.21602854991049,4.0294084548950195,2026-01-28 05:22:28
DP-GRAMS-C,1.0,7,48,0.3787729199170919,0.5079526507856956,55.5824737010344,4.053938627243042,2026-01-28 05:22:28
DP-GRAMS-C,1.0,8,49,0.2641711164244633,0.42714686096460264,107.08183663897849,4.042487382888794,2026-01-28 05:22:32
DP-GRAMS-C,1.0,9,50,0.34712643853730457,0.4838099429400974,64.39701946916301,4.081999063491821,2026-01-28 05:22:33
DP-GRAMS-C,1.0,10,51,0.26273107710660265,0.4435853095131983,67.92855801272539,4.006351470947266,2026-01-28 05:22:36
DP-GRAMS-C,1.0,11,52,0.32362067596773286,0.46924373955689846,76.66342372252731,4.042613744735718,2026-01-28 05:22:37
DP-GRAMS-C,1.0,12,53,0.43511932886384913,0.5463737545544904,41.676616551422384,4.023023843765259,2026-01-28 05:22:40
DP-GRAMS-C,1.0,13,54,0.33556306871484926,0.4379305277472249,53.18752178275307,4.071145296096802,2026-01-28 05:22:41
DP-GRAMS-C,1.0,14,55,0.283931182045262,0.42903334415688416,70.51946343222855,4.018956899642944,2026-01-28 05:22:44
