Algorithm,Eps_modes,Run,Seed,ARI,NMI,MSE,Runtime_s,timestamp
DP-KMeans,0.001,0,1041,0.07455263805481899,0.18581893601088306,1166.5333115903427,1.1007823944091797,2026-01-28 05:20:19
DP-KMeans,0.001,1,1042,0.07320654325308813,0.2038742723442863,998.1996536421462,1.1319808959960938,2026-01-28 05:20:19
DP-KMeans,0.001,2,1043,0.05953524143035919,0.18520725489458228,1019.8032459108457,1.198317527770996,2026-01-28 05:20:20
DP-KMeans,0.001,3,1044,0.01401738571156982,0.12300364688844334,1149.3245760470454,1.2009892463684082,2026-01-28 05:20:20
DP-KMeans,0.001,4,1045,0.0724202101932049,0.16216970692483387,1073.6365624226387,1.1137301921844482,2026-01-28 05:20:21
DP-KMeans,0.001,5,1046,0.07797787984319257,0.17874315755570727,1014.0068344887584,1.118805170059204,2026-01-28 05:20:21
DP-KMeans,0.001,6,1047,0.1089560002613474,0.18991144258548406,1222.8087395950665,0.8215494155883789,2026-01-28 05:20:22
DP-KMeans,0.001,7,1048,0.00866066501756488,0.10364026126240793,1129.1790410374992,1.1218409538269043,2026-01-28 05:20:22
DP-KMeans,0.001,8,1049,0.07465448772748676,0.18912553665892148,858.5828579165358,1.140350580215454,2026-01-28 05:20:23
DP-KMeans,0.001,9,1050,0.07049091214437739,0.17153279322934514,941.7744105006574,1.1358585357666016,2026-01-28 05:20:24
DP-KMeans,0.001,10,1051,0.08259411443752974,0.18771790497925434,1190.7346592221425,1.1176023483276367,2026-01-28 05:20:24
DP-KMeans,0.001,11,1052,0.03447549648949921,0.13232395251499898,1023.8328986445619,1.1098976135253906,2026-01-28 05:20:25
DP-KMeans,0.001,12,1053,0.05338168429307753,0.15017642347084553,1163.8279786823662,1.0540878772735596,2026-01-28 05:20:25
DP-KMeans,0.001,13,1054,0.10228815293659904,0.19401404396965422,974.5030024637497,1.1380648612976074,2026-01-28 05:20:26
DP-KMeans,0.001,14,1055,0.06174422761205148,0.15375435308843366,1135.402907393486,1.0510363578796387,2026-01-28 05:20:26
DP-KMeans,0.001,15,1056,0.04074060961605449,0.160681128285341,1062.6616685522818,1.1650371551513672,2026-01-28 05:20:27
DP-KMeans,0.001,16,1057,0.03973775284359674,0.11799654737022945,1199.6641203185043,0.9831492900848389,2026-01-28 05:20:27
