Eps_modes,Algorithm,ARI,NMI,Silhouette,MSE,Std_ARI,Std_NMI,Std_Silhouette,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
0.1,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1390647892519134e-16,1.1390647892519134e-16,0.0,9.112518314015307e-16,1.0795666575431824,0.01576663035680085
0.1,DP-KMeans,0.0816273792546291,0.19337040254395527,-0.039882052304301974,2235.380474291692,0.029947661812765935,0.056090927634302505,0.02198681319515387,283.96633159802445,0.3897850513458252,0.02771966343967384
0.5,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1390647892519134e-16,1.1390647892519134e-16,0.0,9.112518314015307e-16,1.0831874012947083,0.0019443530565598885
0.5,DP-KMeans,0.03606172382785394,0.1272274104122253,-0.04453642276685493,2029.7903266874637,0.03493630764526063,0.0730875934003263,0.02655700124748988,389.00993355222226,0.37115858793258666,0.03043135717253562
1,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1390647892519134e-16,1.1390647892519134e-16,0.0,9.112518314015307e-16,1.0828670859336853,0.003953982252497776
1,DP-KMeans,0.019954900501954503,0.06851920356829691,nan,2060.2696365671363,0.03453076067466854,0.08370832652493845,nan,304.42995469447504,0.3277511477470398,0.04004330072998968
2,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1390647892519134e-16,1.1390647892519134e-16,0.0,9.112518314015307e-16,1.080586016178131,0.0016734262396744185
2,DP-KMeans,0.06201081215999471,0.16350499509915123,0.04664433445361282,1682.0028335790005,0.05868729571840076,0.09889094443473043,0.04535052730324307,264.13450511256247,0.3002633571624756,0.03371837735136838
5,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1390647892519134e-16,1.1390647892519134e-16,0.0,9.112518314015307e-16,1.1067040801048278,0.015507550143476514
5,DP-KMeans,0.1866571022334763,0.3548684967355882,0.0712511525394522,1216.9285969401458,0.05032157705695974,0.0594950114232173,0.028544036771601923,292.61165411715626,0.2954185128211975,0.02071285934649301
10,DP-GRAMS-C,0.7106751250633196,0.7861456124103215,0.18737090089422193,5.064753089365804,1.1390647892519134e-16,1.1390647892519134e-16,0.0,9.112518314015307e-16,1.109473741054535,0.00515827909289442
10,DP-KMeans,0.2851229788553476,0.4561543496766487,0.09133639336244163,924.1987147531736,0.059890394906260726,0.06433314004071686,0.026660151587627783,281.13111653483514,0.30116204023361204,0.028923046391314627
