Eps_modes,Algorithm,ARI,NMI,MSE,Std_ARI,Std_NMI,Std_MSE,Mean_Runtime(s),Std_Runtime(s)
0.5,DP-GRAMS-C,0.569205480862196,0.6460811476371997,7.9158232419217,0.1146325535782421,0.10337549749799811,4.1230063952637,0.002579069137573242,0.0006770637101679504
0.5,DP-KMeans,0.4566236753511859,0.5201560353428417,6.528380658054388,0.22522980128528206,0.2303587134608936,2.0235961749465736,0.008183097839355469,0.0005176837587736039
1.0,DP-GRAMS-C,0.6591680726816004,0.7094351412908113,1.62173007029256,0.09702938995932231,0.06227014588963613,0.832783628055799,0.001965904235839844,2.4736508880877302e-05
1.0,DP-KMeans,0.5019893179696486,0.5887969695327985,5.534359772084466,0.14600826146165147,0.16214195939343676,1.7546451391997995,0.007833945751190185,0.0007119112772030006
2.0,DP-GRAMS-C,0.6794968082241225,0.7091069902876074,0.6496455781387439,0.09910585116421071,0.0729268241643772,0.3094861417181195,0.0019776582717895507,8.377379930016006e-05
2.0,DP-KMeans,0.5318923519355562,0.6182623515429918,4.01179705872862,0.11182459756047565,0.10512738064428004,1.750821099014182,0.007594001293182373,0.0007088840781443287
5.0,DP-GRAMS-C,0.7134817289983247,0.7264681865743527,0.3138703021033886,0.08204606560124851,0.06887277177404558,0.09882327031694328,0.00196913480758667,2.369222301602796e-05
5.0,DP-KMeans,0.5862859667752013,0.6775181827053869,2.227098015744368,0.09791194245111365,0.07204103421067551,1.5790131913218561,0.007382881641387939,0.0008130589833781516
10.0,DP-GRAMS-C,0.7483198158053128,0.7507608860609161,0.25552004089544333,0.08523481158212462,0.06965136973131986,0.05982266993566973,0.0019623994827270507,2.1130722859352375e-05
10.0,DP-KMeans,0.6525806302252597,0.7078866502543049,0.9474643370243886,0.09533372055532485,0.061914103240096365,1.1842336148082448,0.007270920276641846,0.0007964819265357966
